;E_expect (kJ/mol);E_vac_expect (kJ/mol);Hvap_bootstrap (kJ/mol);Hvap_expect (kJ/mol);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dE_expect (kJ/mol);dE_vac_expect (kJ/mol);dHvap_bootstrap (kJ/mol);dHvap_expect (kJ/mol);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values C;epsilon values H-C;rmin_half values C;rmin_half values H-C
0;17225.56928875232;73.60123176301467;7.1557789359056585;7.158953095435304;2541.670864023889;108.578960927156;108.57933237712903;3.852125609178545;0.19874462421488667;0.1976960968742361;0.1993410334228356;0.02099260318646757;0.02082816528818994;0.106665;0.0160925;1.91754;1.479565
1;17209.711172860418;73.60514202801194;7.223036484116165;7.226302539743237;2544.0825205764404;108.51257023355505;108.51283987139055;3.860393369767803;0.1987529851653219;0.19769397555475265;0.19935192827829015;0.021457590257196985;0.02131895083789072;0.112135;0.0160925;1.908;1.487
2;17213.335799114466;73.623964383137;7.227339097925554;7.230625999703787;2541.519096127457;108.51641069507679;108.51670272607387;3.860012059798485;0.1987624121917703;0.19769740105305286;0.19936120885102532;0.021427822299242387;0.021286686577362945;0.1094;0.0157;1.89846;1.494435
3;17248.273741454042;73.6336287535629;7.097407881868208;7.100525179069349;2476.463043411632;108.649068710376;108.64959086519629;3.883068498132392;0.1987536436031465;0.19771645389775994;0.19935963078133315;0.02085329948200227;0.020683078356573643;0.112135;0.0153075;1.91754;1.487
4;17225.569287706196;73.60123176301467;7.155778940143561;7.158953099619636;2541.6708642010512;108.57896092871994;108.5793323785146;3.852125606179865;0.19874462421488687;0.19769609686838796;0.19934103342190865;0.020992602876963844;0.020828165196021868;0.1094;0.0160925;1.89846;1.479565
5;17213.33579968909;73.623964383137;7.227339095627182;7.230625997404602;2541.5190960329032;108.51641070204205;108.5167027329332;3.8600120274683816;0.19876241219177024;0.19769740103850367;0.19936120884100966;0.0214278225662624;0.021286686698499417;0.112135;0.0157;1.91754;1.494435
6;17248.273740635825;73.6336287535629;7.097407885233027;7.100525182342465;2476.463043164569;108.64906870799429;108.64959086279306;3.883068527377737;0.19875364360314665;0.19771645390891687;0.1993596307904474;0.02085329928282601;0.020683078373998118;0.106665;0.0153075;1.91754;1.487
7;17263.478324634783;73.62982232241235;7.032865371271802;7.035894544833035;2371.7518825408865;108.7070759341883;108.7077132690563;3.9530450505559096;0.1987456531958754;0.1977430234931732;0.19937366855094574;0.02105447746710989;0.0209086831707264;0.1094;0.0153075;1.908;1.479565
8;17244.275007945274;73.61665155015531;7.097951365970093;7.09954988857529;2541.508854393487;108.58050935649752;108.5804930586978;3.850908672294752;0.19875273941745628;0.1995049045632851;0.19934874815759687;0.02063490300855511;0.02081570772314617;0.1094;0.0157;1.908;1.479565
9;17225.322688658696;73.60242994692958;7.1595266667812725;7.161144494231381;2543.9673086259468;108.51183917742293;108.51186201394172;3.8614199056713394;0.1987522776195962;0.19951006673152827;0.1993515409587427;0.02119786657111076;0.021331019884240042;0.112135;0.0160925;1.91754;1.479565
