;E_expect (kJ/mol);E_vac_expect (kJ/mol);Hvap_bootstrap (kJ/mol);Hvap_expect (kJ/mol);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dE_expect (kJ/mol);dE_vac_expect (kJ/mol);dHvap_bootstrap (kJ/mol);dHvap_expect (kJ/mol);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values C;epsilon values H-C;rmin_half values C;rmin_half values H-C
0;12676.823894397225;85.29746637035089;37.048622067638185;37.0501275561532;1165.9999999993515;108.99092821568873;108.99244167121576;6.3421927026422695;0.273581274681638;0.2695849969803521;0.27475496064241417;0.029737589399679812;0.029280029245543182;0.106665;0.0160925;1.91754;1.479565
1;12417.154883794072;85.25412644456719;38.04352481048001;38.04545943420893;258.1659994039485;109.03585746616741;109.03440774229315;13.882321453138914;0.2731069587011372;0.2730542820393708;0.2786950170140411;0.059222638353008915;0.05825578288941224;0.112135;0.0160925;1.908;1.487
2;12924.831322153745;84.55249727689383;35.33208582558878;35.313156835967185;5.0114783907985645;108.766820435788;108.71437932338951;105.02961021033022;0.27267963209799617;0.5002898229657312;0.5008529597550392;0.3278705405009244;0.3428862990058286;0.1094;0.0157;1.89846;1.494435
3;12600.24961951088;86.11790568897058;38.17426301793839;38.17685851931816;275.7893839421994;109.04719150304665;109.04645157332224;11.90254347403108;0.274234783493998;0.2726001784765298;0.2783369274218808;0.05481431464314752;0.054441228314361226;0.112135;0.0153075;1.91754;1.487
4;12399.770785180146;83.71377166813542;36.56995230082581;36.57463646563567;62.25897991323205;109.08018542321852;109.0798195956843;34.685133869175054;0.2743992002274255;0.3018983844768853;0.3074798487529401;0.10488988089624857;0.10815156428613663;0.1094;0.0160925;1.89846;1.479565
5;12684.649742080566;86.62007890407196;38.301787049107006;38.341449692238974;8.687247287272486;108.87909948485577;108.86379713581181;50.26861733057388;0.2748777889528902;0.3384294976706204;0.3405711991589417;0.24555180782423255;0.2472646428830461;0.112135;0.0157;1.91754;1.494435
6;12996.072222482895;85.64557428161909;36.121907018865286;36.12123714258437;282.4850127606262;109.03833189469348;109.04207032814236;12.040611045428436;0.27357896405629833;0.27270423255838605;0.277786015935094;0.0677696096966856;0.06672579746159901;0.106665;0.0153075;1.91754;1.487
7;12595.729274253574;84.52837005958969;36.60384368929361;36.605418400194225;58.79734568019815;108.91532180465288;108.90655822935403;24.09745786225388;0.2742910400956065;0.2860511134878781;0.29073454300574325;0.13812376784769134;0.1445880646666413;0.1094;0.0153075;1.908;1.479565
8;12610.569553308755;84.27875874595907;36.304981124255036;36.29643729611525;1165.9999999993515;108.99147393849987;108.99244167121576;6.3048900332753215;0.2732729300613145;0.2801284385232335;0.2744341825034715;0.028207820739712283;0.02928002924555188;0.106665;0.0157;1.908;1.479565
9;12689.23973651613;86.37200566788351;37.940141487159636;38.07503599584383;2.38497544491333;108.79371011806838;108.67055420955649;46.243512450059605;0.2769461985646154;0.4419517079614095;0.3330384313150356;0.3789951132765313;0.26822130921284826;0.1094;0.0160925;1.91754;1.494435
