;E_expect (kJ/mol);E_vac_expect (kJ/mol);Hvap_bootstrap (kJ/mol);Hvap_expect (kJ/mol);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dE_expect (kJ/mol);dE_vac_expect (kJ/mol);dHvap_bootstrap (kJ/mol);dHvap_expect (kJ/mol);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values C;epsilon values H-C;rmin_half values C;rmin_half values H-C
0;12581.1648973864;96.98998467967309;;49.12548105888722;120.55450332339115;;107.02011128969808;19.54632543192262;0.2461482132382549;;0.2582670794535167;;0.06478435574658879;0.123075;0.017662499999999998;1.9557;1.524175
1;16514.19359372895;91.01876494208557;;27.420813579773622;141.01238379625508;;120.2176969915324;17.73566433929179;0.25120176412950546;;0.2610271770014921;;0.13956398607823095;0.08086972;0.00898037;1.99756248;1.47905755
2;14202.822303843652;86.18390799802845;;31.83201178224572;92.85246800619106;;114.57426146654998;23.005842936398448;0.2599961366154564;;0.2758011824190382;;0.14730489965389998;0.08831782;0.01507657;1.93824586;1.47310704
3;18182.582287804616;102.27912097909756;;32.00603082733865;144.00000000009902;;135.9009954499859;18.160555514637238;0.2937723484084239;;0.3026203649566792;;0.12966510627702993;0.13115529;0.0215101;1.75788729;1.66181904
4;17206.002340998177;131.05254704469485;;64.68780373498673;140.99999999992843;;115.83114569704323;20.820506172593127;0.4802758294947483;;0.4874430921244001;;0.05087226669071861;0.17255399;0.02217845;1.91305452;1.6864328000000002
5;12967.128115407117;96.04778953967138;;46.63903637600467;160.1157851370106;;110.94754493317936;15.767525746421425;0.2359000896450908;;0.2441857698923861;;0.0566613923838392;0.14045855;0.01708877;1.89680354;1.57469818
6;11286.836803779419;87.40182877605935;;44.71406808333641;93.11519442945169;;112.65819411144008;20.490266303383997;0.25007239886117183;;0.2631612071470648;;0.07919667259855455;0.07137537;0.0468277;1.90971908;1.49617255
7;13549.890053710315;84.14278734234296;;32.40269256446187;142.40741072313392;;113.85705980015108;18.283614678616008;0.2789322012819561;;0.2883605764764517;;0.10017935376487604;0.12333617;0.01093013;1.85954852;1.52662338
8;10030.913121443798;115.77857876635358;;78.11499793882005;80.00000000030316;;107.85486889421811;19.96790250746303;0.3616936286942831;;0.3704075527824798;;0.055575182530578894;0.09895501;0.05941900000000001;2.01273589;1.53408166
9;12567.033207510798;93.7446887315777;;45.93656203221549;153.54310769026497;;108.50365662395842;16.62976831876913;0.231499959021868;;0.2408672210478251;;0.061673122301818636;0.16598365;0.01128544;1.87573779;1.58939837
10;15531.8729749226;87.58294479709316;;27.915018232733683;117.00000007667292;;112.86796702048099;17.860133678111147;0.29219286749962553;;0.3007996375995147;;0.12615339303248407;0.10940693;0.0039344;1.93896664;1.49804415
11;13063.303943904006;85.65335545390447;;35.85984593221655;1.4459555627814678;;111.47273338511093;30.91707614988616;0.26062343900936136;;0.2884760418339547;;0.13596966753491496;0.1094;0.0157;1.908;1.479565
12;13029.478915379006;86.94560957397249;;37.28739558114818;1.8099170716518092;;111.51813176508057;48.35591098977;0.25004005343301816;;0.3161213923469502;;0.18153645191443946;0.112135;0.0160925;1.91754;1.479565
13;13094.06346959886;87.36513422963434;;37.44852649730989;7.504491853859219;;112.06786068328877;70.97992679200789;0.2465755614432169;;0.3760450886208714;;0.32181424872195563;0.112135;0.0157;1.91754;1.487
14;12952.750303446477;85.85032681156703;;36.49894982564288;6.622990251561035;;112.28487265599648;81.47154835795766;0.2551125485180037;;0.41386498343737216;;0.3184945573536287;0.112135;0.0157;1.89846;1.494435
15;13089.031625347085;86.29475001470354;;36.398303837855735;3.050675346411136;;111.72945999466415;66.19586729766642;0.25417171362650315;;0.3670334407455865;;0.32251502832038503;0.112135;0.0153075;1.908;1.487
16;13057.48552410732;84.98366788592874;;35.213328606456535;7.643541678646536;;112.49686181132276;58.02614453481555;0.2643741106576027;;0.3518042163413244;;0.321794387999295;0.106665;0.0160925;1.89846;1.487
17;13132.466601231841;86.29052362088207;;36.22027625942104;1.506635230059446;;112.33620330380067;49.095573382620294;0.2526170891725425;;0.3199709347873841;;0.12303231253071888;0.106665;0.0153075;1.908;1.494435
18;13081.251657649802;86.10751341711223;;36.242143230020424;5.877748814608427;;112.16392566917207;65.72702659365777;0.25487567655348525;;0.3661724792223561;;0.40141837460193625;0.1094;0.0157;1.908;1.487
19;12637.103762984623;96.94590395065023;;48.857619988046295;160.73964830870784;;107.26644223210764;18.045107007638226;0.13886483623766244;;0.15650385608833098;;0.059841947659126635;0.123075;0.017662499999999998;1.9557;1.524175
20;16535.75311785286;90.97651307194367;;27.292305181784247;354.23963060866816;;120.40018562350686;11.346178168978462;0.14544137553154107;;0.15235801897898885;;0.0918286372867206;0.08086972;0.00898037;1.99756248;1.47905755
21;14163.147280456444;86.03708296667887;;31.8439113435542;238.8167962059551;;114.33169602883278;14.96287971281791;0.15008168030073488;;0.1615757257822097;;0.09463176786585313;0.08831782;0.01507657;1.93824586;1.47310704
22;18207.06084698721;102.56084954266376;;32.18984029692135;477.00000000003183;;135.94908706493945;9.912615459162732;0.16701477917237054;;0.1716569125918736;;0.07323970897591288;0.13115529;0.0215101;1.75788729;1.66181904
