;E_expect (kJ/mol);E_vac_expect (kJ/mol);Hvap_bootstrap (kJ/mol);Hvap_expect (kJ/mol);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dE_expect (kJ/mol);dE_vac_expect (kJ/mol);dHvap_bootstrap (kJ/mol);dHvap_expect (kJ/mol);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values C;epsilon values H-C;rmin_half values C;rmin_half values H-C
0;16916.702867112796;73.80746834109986;8.740894405387177;8.600802756873591;982.8519845661754;107.09883863780952;107.11995816915443;8.632657389611538;0.1586832172260561;0.0;0.16239682204852704;0.0;0.021111683475204143;0.13675;0.019625;2.0034;1.56135
1;16999.36802622084;73.80314016165049;8.373201094257437;8.265767088953101;717.4703993327449;107.5901315516103;107.58383974273592;7.660126635180409;0.15860754187295714;0.0;0.16154006619940034;0.0;0.027389784857147544;0.123075;0.017662499999999998;1.9557;1.524175
2;16999.368032110684;73.80314016165049;8.373201050573188;8.265767065392122;717.4703806179051;107.59013156323108;107.58383975856371;7.660126325657106;0.15860754187295725;0.0;0.1615400659645621;0.0;0.02738978503151231;0.126151875;0.0176625;1.9557;1.524175
3;17022.787228140987;73.81790710831798;8.292680077072736;8.186851076053518;669.4141292909894;107.655476904184;107.64474951002519;8.004669624411322;0.15860691884400846;0.0;0.16180652176662705;0.0;0.028504718914843574;0.119998125;0.0172209375;1.9557;1.524175
4;16995.19883366125;73.81383886089931;8.409493223085711;8.293147493418868;802.0705410745053;107.53584346564631;107.534978568931;7.579544202711571;0.158618116229029;0.0;0.16148962396363634;0.0;0.025699090299095003;0.119998125;0.0176625;1.9557;1.531795875
5;16984.590201088584;73.77882629219923;8.401688641987102;8.300565443805151;685.8658448712996;107.58191457794408;107.57469346280777;7.578931389019961;0.15859856149217502;0.0;0.16146995674545736;0.0;0.02800615357487852;0.123075;0.0181040625;1.9459215;1.516554125
6;17019.32780579423;73.82844516516094;8.326548307518166;8.211231674602015;754.5870412280458;107.60148829047236;107.59670675227758;7.908331085076983;0.1586172133428429;0.0;0.16174080370993182;0.0;0.026689808059398086;0.123075;0.0172209375;1.9557;1.531795875
7;16999.368031000024;73.80314016165049;8.373201046249793;8.265767069835253;717.4703854930798;107.59013156856196;107.58383975372264;7.66012630751591;0.15860754187295725;0.0;0.1615400659507982;0.0;0.027389784408775573;0.123075;0.0176625;1.9557;1.524175
8;17007.22053946309;73.7935833239693;8.323998698048475;8.224795089028689;641.9498095679327;107.64598167159036;107.63442661630366;7.889900055991956;0.15859817010546115;0.0;0.16170772379739054;0.0;0.02909557721542838;0.123075;0.0176625;1.9654785;1.516554125
9;16984.590201312814;73.77882629219923;8.401688627303058;8.300565442905608;685.8658244508484;107.58191461477031;107.57469348865921;7.5789314673881565;0.1585985614921752;0.0;0.16146995680431156;0.0;0.028006154590346458;0.119998125;0.0181040625;1.9557;1.516554125
10;16916.702866703574;73.80746834109986;8.424292400553412;8.600802758511023;982.8519830414407;107.12334663672938;107.11995816379834;8.63265741787928;0.15868321722605622;0.0;0.16239682207256956;0.0;0.021111683478538583;0.13675;0.019625;2.0034;1.56135
11;16999.368027229968;73.80314016165049;8.090409386543003;8.265767084915327;717.4703949795319;107.58497060908199;107.58383975513456;7.66012651863067;0.15860754187295711;0.0;0.1615400661109729;0.0;0.02738978466316929;0.123075;0.017662499999999998;1.9557;1.524175
12;17022.787220820883;73.81790710831798;8.00891478732258;8.186851105333004;669.4141162061053;107.64621385014694;107.64474951923094;8.004670213836768;0.1586069188440084;0.0;0.16180652223317496;0.0;0.02850471973032837;0.119998125;0.0172209375;1.9654785;1.524175
13;16995.198833434537;73.81383886089931;8.118220980127784;8.293147494325774;802.0705501692427;107.53395612888399;107.53497856837319;7.579544305383451;0.1586181162290288;0.0;0.1614896240407389;0.0;0.02569909048281441;0.119998125;0.0176625;1.9459215;1.531795875
14;17019.327809581788;73.82844516516094;8.033964276680637;8.211231659451839;754.587050549913;107.59571125440502;107.5967067516875;7.908331120367133;0.1586172133428427;0.0;0.16174080373753988;0.0;0.02668980825247369;0.123075;0.0172209375;1.9654785;1.531795875
15;16999.36802427887;73.80314016165049;8.090409377321643;8.265767096719049;717.4703823735074;107.58497060396552;107.58383976188604;7.660126742523104;0.15860754187295747;0.0;0.16154006628084264;0.0;0.027389784527561776;0.126151875;0.0176625;1.9459215;1.524175
16;17022.787229252295;73.81790710831798;8.008914766801901;8.186851071608274;669.4141283406128;107.64621384372965;107.64474951020252;8.004669555651054;0.1586069188440086;0.0;0.16180652171220142;0.0;0.028504719081420295;0.126151875;0.0172209375;1.9557;1.524175
17;16976.06484429933;73.78852396696473;8.171468333020877;8.344369751221258;759.4353697101147;107.52397246865485;107.52315392230258;7.376412977133348;0.1586081822878144;0.0;0.16132928745369599;0.0;0.02642874563275318;0.123075;0.0181040625;1.9557;1.524175
18;16984.59019239338;73.77882629219923;8.126645961213473;8.300565478586206;685.8658504569322;107.57772102315072;107.57469346038738;7.578931650415982;0.15859856149217494;0.0;0.16146995694176405;0.0;0.02800615478267628;0.126151875;0.0181040625;1.9459215;1.516554125
19;17029.97962250782;73.8084922889843;7.969294437220029;8.148661679705588;594.0370481129122;107.69837978347313;107.69424997453513;8.261305972459876;0.15859779519887054;0.0;0.1620038501803529;0.0;0.030332799368348082;0.126151875;0.0172209375;1.9459215;1.516554125
20;16916.7028649697;73.80746834109986;8.84390764227941;8.600802765446412;982.8519842399063;107.13223226217777;107.11995816485637;8.632657426484087;0.15868321722605547;0.0;0.16239682207988745;0.0;0.0211116834263364;0.13675;0.019625;2.0034;1.56135
21;16999.368031145757;73.80314016165049;8.484591222845086;8.265767069252425;717.4703984003817;107.58488946917065;107.58383975268512;7.660126607966567;0.1586075418729569;0.0;0.16154006617875272;0.0;0.027389784778872682;0.123075;0.017662499999999998;1.9557;1.524175
