;E_expect (kJ/mol);E_vac_expect (kJ/mol);Hvap_bootstrap (kJ/mol);Hvap_expect (kJ/mol);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dE_expect (kJ/mol);dE_vac_expect (kJ/mol);dHvap_bootstrap (kJ/mol);dHvap_expect (kJ/mol);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values C;epsilon values H-C;rmin_half values C;rmin_half values H-C
0;16916.70286579491;73.80746834109986;8.936715909160672;8.600802762145712;982.8519824249468;107.11614488310025;107.11995816344208;8.632657483508337;0.1586832172260556;0.0;0.1623968221283881;0.0;0.021111683434044383;0.13675;0.019625;2.0034;1.56135
1;16999.368029245306;73.80314016165049;8.511346830928098;8.265767076853894;717.4703932178868;107.5886281436932;107.58383975595899;7.660126452494445;0.1586075418729572;0.0;0.1615400660607948;0.0;0.027389784968589168;0.123075;0.017662499999999998;1.9557;1.524175
2;16887.332650524957;73.79295234924284;9.041842474695873;8.703774037784202;949.7994101920337;107.05242794058854;107.05652830517323;8.673425300784075;0.15868592607154064;0.0;0.16243422065907998;0.0;0.02161893435701121;0.13675;0.020115625;2.0034;1.56135
3;16927.72665345008;73.80533468248369;8.870216525548088;8.554564488213604;1052.0408949384687;107.21499027298357;107.21366801720959;7.94706049826838;0.1586623524408799;0.0;0.16181543318098496;0.0;0.020922773564668155;0.14016875;0.019134375;2.0034;1.55354325
4;16870.219932145592;73.77562216742784;9.074806960531557;8.754891957464794;996.516599833564;107.084833649131;107.0839740664229;7.880954034505197;0.1586667641110601;0.0;0.16176802224818645;0.0;0.0214904236728596;0.13675;0.020115625;1.993383;1.55354325
5;16940.092816037155;73.82611933259736;8.874852476868131;8.525896083623742;831.4233228162856;107.09053770198624;107.09885965345427;9.346156733723603;0.15870400503991866;0.0;0.16304775849965475;0.0;0.02211710943671437;0.13333125;0.019625;2.013417;1.56915675
6;16910.426769972193;73.8118938193895;8.981812400839594;8.630341021749953;803.8120729391621;107.02863254575577;107.0368094134202;9.45746171849129;0.15870726350860515;0.0;0.16315358656843354;0.0;0.022677047498835368;0.13333125;0.020115625;1.993383;1.56915675
7;16946.130863060203;73.82213477429374;8.83141367919847;8.49775070032527;1000.0348276278387;107.18083896550777;107.18437354114019;8.663011878169879;0.15868052849726602;0.0;0.16242005579808794;0.0;0.020912773845315497;0.13675;0.019134375;2.0034;1.56135
8;16910.426781327827;73.8118938193895;8.981812347823379;8.630340976327048;803.8120489689536;107.02863256876104;107.03680941717045;9.457462030356623;0.15870726350860498;0.0;0.16315358685767786;0.0;0.022677047450352296;0.13333125;0.020115625;2.0034;1.56915675
9;16969.791610276177;73.84049312643141;8.76785509198854;8.421468340257494;846.3939482650733;107.15352557135796;107.16183236820088;9.312907096129438;0.15870076780606926;0.0;0.16301416356996504;0.0;0.021874704023007174;0.13333125;0.019134375;2.013417;1.56915675
