;E_expect (kJ/mol);E_vac_expect (kJ/mol);Hvap_bootstrap (kJ/mol);Hvap_expect (kJ/mol);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dE_expect (kJ/mol);dE_vac_expect (kJ/mol);dHvap_bootstrap (kJ/mol);dHvap_expect (kJ/mol);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values C;epsilon values H-C;rmin_half values C;rmin_half values H-C
0;12667.576226899895;85.0224509631272;36.732446766316215;36.812102818918845;1165.9999999993515;109.03190790433992;108.99244167121576;6.333027194486933;0.2737166639147449;0.0;0.2748863908026381;0.0;0.029280029245559443;0.1094;0.0157;1.908;1.487
1;12942.973585966252;84.7595475300889;35.38455579488299;35.44759835737403;252.4767126609491;109.10505287320764;109.10721633523512;17.63272721885607;0.2739418530856059;0.0;0.2828758526396529;0.0;0.05224266427999186;0.106665;0.0153075;1.908;1.487
2;12812.854356157293;85.76598119715887;37.02152149944257;36.97452254505091;228.0450894771721;108.97582793046473;108.97254929501328;13.099165915285118;0.2742796547930339;0.0;0.2792395735513894;0.0;0.06336423244684435;0.106665;0.0160925;1.91754;1.487
3;12715.652447299944;85.64120837375073;37.24433855377592;37.23855628014096;270.5458011588546;108.98034282831892;108.98321198017106;12.398242571001044;0.2739380353952776;0.0;0.2783909301200685;0.0;0.05882755374227866;0.112135;0.0153075;1.908;1.494435
4;12638.164543784564;85.6929065146998;37.649772157657736;37.600207759407375;73.89724863894344;108.8825428721789;108.9661401402508;23.3118242292492;0.2739699666170842;0.0;0.28940387196290385;0.0;0.10692520390232013;0.112135;0.0157;1.908;1.494435
5;12920.601442839812;85.42223412322812;36.20890467000919;36.199788339657715;190.32626060826527;108.92011304888355;108.96051694223301;14.653397194571266;0.27361484471251746;0.0;0.2798225082216806;0.0;0.08339640297436561;0.1094;0.0153075;1.908;1.494435
6;12430.333546499074;83.87465624313072;37.06030141941395;36.613385889589146;1.4677536666144488;108.78371012946552;107.93235193333818;30.059841797759113;0.2753084060048885;0.0;0.3004200795597575;0.0;0.1887009204200615;0.112135;0.0153075;1.89846;1.479565
7;12480.759405833025;84.77559319126269;37.85244494006476;37.312601202612335;2.1713552483446152;108.81974527530629;108.11252790346191;56.56267687152839;0.2746589381375185;0.0;0.3558467587860196;0.0;0.2803430807217841;0.112135;0.0153075;1.908;1.479565
8;12738.935344781641;86.59608939902226;38.188144828750296;38.10029286213803;27.264058714126076;109.00771540307844;109.11047284803342;33.11865417292608;0.27572363358476376;0.0;0.3058971173869886;0.0;0.15366325040957526;0.112135;0.0153075;1.91754;1.494435
9;12667.57622688681;85.0224509631272;36.69725154087317;36.812102818971184;1165.9999999993515;108.98454387441289;108.99244167121576;6.3330271946003975;0.2737166639147451;0.0;0.2748863908026801;0.0;0.029280029245544282;0.1094;0.0157;1.908;1.487
10;13047.912602864319;85.25444229713757;35.522729680565156;35.52276864528458;17.063835447172885;108.43183792455791;108.79445936341354;33.75114276148292;0.27329602753290605;0.0;0.3048228229484267;0.0;0.2261428053512831;0.106665;0.0157;1.908;1.494435
11;13124.971892397305;86.12175550209459;36.124204365677755;36.08183329239386;47.05445886878915;108.71117726471122;108.90732783689337;29.673863081459608;0.2744479291930191;0.0;0.2990155123801929;0.0;0.198715969147976;0.106665;0.0153075;1.91754;1.494435
12;12667.576226898667;85.0224509631272;36.68673468667638;36.81210281892375;1165.9999999993515;108.99334525419901;108.99244167121576;6.3330271945007315;0.2737166639147454;0.0;0.27488639080264377;0.0;0.02928002924553406;0.1094;0.0157;1.908;1.487
13;12649.69449125102;85.32732727058922;37.10085459557536;37.18850930177579;545.1433721281587;108.9208540843838;108.96043375605731;10.089643787725574;0.27433089431055785;0.0;0.27728370702025545;0.0;0.04136359359166927;0.106665;0.0160925;1.91754;1.479565
14;12397.644378551184;85.28335735749778;38.09990458631621;38.15273193367382;269.0261775309427;109.0392340423534;109.0387091012022;11.169768188691542;0.2738281725748705;0.0;0.27744925242198304;0.0;0.05565597418507467;0.112135;0.0160925;1.908;1.487
15;12867.96766705813;84.58086237239327;35.619065106368815;35.568957257717344;26.78729343943501;109.02325714109745;108.90541033070959;47.22543881464384;0.2730213056428997;0.0;0.3320007631933832;0.0;0.16751835164341025;0.1094;0.0157;1.89846;1.494435
16;12577.115714948972;86.14790616877039;38.302831304862345;38.2993958392766;98.15385975113062;108.96427031174629;109.0343534445541;24.32644065731693;0.27523713192555743;0.0;0.29193131095712965;0.0;0.09164607549790102;0.112135;0.0153075;1.91754;1.487
17;12387.9812836764;83.74299258458446;36.42031588072719;36.651050128012756;16.494407488864788;108.51007644345577;108.73586006049065;37.75733269572668;0.2745776784160836;0.0;0.3133731974377185;0.0;0.24875740228613935;0.1094;0.0160925;1.89846;1.479565
18;12663.96655338421;86.64929911780567;38.198476521075904;38.45337184591337;10.597278412627553;109.06925857723559;109.16889460842474;46.21451859027937;0.27596248762859;0.0;0.3321562927869627;0.0;0.2431934654004805;0.112135;0.0157;1.91754;1.494435
19;12964.533170697845;85.67529456582315;36.109633450166214;36.27711388738217;656.0952522498915;109.06292054661225;109.03956088723929;8.369254375433455;0.2743567485257569;0.0;0.2763916355089219;0.0;0.040654264776179186;0.106665;0.0153075;1.91754;1.487
20;12603.529137354388;84.55836563071959;36.37455114961603;36.60426782020319;4.52985068747187;108.12882546962584;108.37882276103822;33.33200462797957;0.27476013042957365;0.0;0.3054005416252808;0.0;0.317916479333284;0.1094;0.0153075;1.908;1.479565
21;12667.576226898256;85.0224509631272;37.2339101244696;36.81210281892538;1165.9999999993515;108.99336525329096;108.99244167121576;6.333027194378928;0.27371666391474475;0.0;0.2748863908025982;0.0;0.029280029245542932;0.1094;0.0157;1.908;1.487
22;12622.269404205901;84.41239615134899;36.79783274606765;36.38327784038703;248.81294008252544;109.02439406922504;108.9672686965436;14.986969748079698;0.2741132363702999;0.0;0.2805919004438108;0.0;0.06685318032197117;0.106665;0.0160925;1.908;1.479565
23;12923.175057107617;84.53041113217535;36.05908995593154;35.29766786753483;38.24978996829928;108.77383741171144;108.99045752526895;40.52942519551555;0.2732839147437738;0.0;0.3177518641443966;0.0;0.14096124656178466;0.1094;0.0153075;1.89846;1.494435
24;12268.03546903544;83.94284369353106;38.17134838759311;37.33072600103571;3.748520636219408;109.03698674412578;108.3249143920411;67.67729470210712;0.27425378535181555;0.0;0.3853551599951942;0.0;0.3229587485957782;0.112135;0.0160925;1.89846;1.479565
25;12691.946460841917;85.9574715902277;38.107532545073134;37.649638669836285;289.1150011455769;109.04799098135537;109.03046558164048;11.637341952630315;0.2747397955748229;0.0;0.27865534077875864;0.0;0.05283031595765071;0.1094;0.0157;1.91754;1.487
26;12709.628099558897;83.50782864300456;35.701233114601;35.129237905526544;14.477188527864909;109.21630816817282;109.339992499509;55.63933636534804;0.2756904093108448;0.0;0.3543119731321065;0.0;0.22138489156457875;0.106665;0.0157;1.89846;1.479565
27;12743.466201503046;84.97867564183949;36.866740064090706;36.464766944139456;880.5881384194741;109.0112387963666;108.99892760240593;8.118912655501576;0.2739340078612858;0.0;0.27585233107139673;0.0;0.033214633158400175;0.1094;0.0153075;1.908;1.487
28;12423.352407362876;84.63008758140654;37.81292902556199;37.396654834438365;43.845511951894004;109.00408062622499;108.79324273929686;28.12490098423739;0.274037225404944;0.0;0.2962305893203374;0.0;0.15824986049445391;0.1094;0.0160925;1.908;1.479565
29;12667.57622690521;85.0224509631272;37.44414529123546;36.81210281889758;1165.9999999993515;108.99174407152731;108.99244167121576;6.333027194309263;0.2737166639147461;0.0;0.2748863908025739;0.0;0.029280029245542755;0.1094;0.0157;1.908;1.487
30;12865.937878020886;83.93103019481259;35.598094663070725;34.927215409004965;51.0948299442233;109.21562260837985;109.19082895126905;28.411439779848948;0.27410774728004106;0.0;0.2967329031606508;0.0;0.1143491872045841;0.106665;0.0157;1.89846;1.487
31;12593.863401589608;85.06579879115452;37.77343791200272;37.15030131765028;880.7401505610616;108.99300309501487;108.99868461207707;7.280110519005669;0.27356622975681355;0.0;0.2751117631469055;0.0;0.03392201999113322;0.1094;0.0160925;1.908;1.487
32;12767.401683929531;85.91217378916842;37.8960271777706;37.302523516501395;476.8834276724105;108.94722712107634;108.99541533534388;9.354009010541404;0.2747362119916361;0.0;0.27727233174591365;0.0;0.043377364039540525;0.1094;0.0153075;1.91754;1.487
33;12467.672379291447;85.24028288734226;38.40191145799878;37.82955077610364;435.6134509217297;109.00912834774178;108.98607992903555;9.46819510032301;0.2739082937274049;0.0;0.27651419653713105;0.0;0.04269190777592125;0.112135;0.0157;1.908;1.487
34;12867.780492126956;84.8035879951028;36.4448297254831;35.79241642706467;455.0060425115745;109.02578398267872;109.05544089411178;10.929115329325118;0.2736467039618468;0.0;0.27711666784563216;0.0;0.042674040908973206;0.106665;0.0157;1.908;1.487
