;E_expect (kJ/mol);E_vac_expect (kJ/mol);Hvap_bootstrap (kJ/mol);Hvap_expect (kJ/mol);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dE_expect (kJ/mol);dE_vac_expect (kJ/mol);dHvap_bootstrap (kJ/mol);dHvap_expect (kJ/mol);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values C;epsilon values H-C;rmin_half values C;rmin_half values H-C
0;12179.380059493182;81.26818884064119;34.75463649737853;35.010625991816354;1054.999999999386;108.96853678107092;108.98624606048729;6.6315174013292575;0.2975920255499527;0.0;0.29877189635187107;0.0;0.0314086868823016;0.11487;0.014915;1.8603;1.487
1;13547.160591276805;83.21775235773579;31.049819922984103;31.48884087517756;2.477459065547501;111.95276233013786;111.228885653535;45.42462551521732;0.3028074942255121;0.0;0.3531383966008092;0.0;0.5371680102631797;0.10393;0.0157;1.8603;1.524175
2;12376.803917601064;85.46861822642056;38.238001926649325;38.421476723862675;4.9804420178533;107.76181147376631;107.83002132328093;71.88134729412839;0.3135191512776068;0.0;0.42539993870574266;0.0;0.14413105567559126;0.11487;0.014915;1.908;1.487
3;13221.0103268193;90.15511123308256;39.47141637894642;39.731139235397;2.8898603014271544;107.833380739619;107.87812285495826;95.2129998131187;0.3490888314420696;0.0;0.5166345496864884;0.0;0.1872213632876006;0.1094;0.014915;1.9557;1.487
4;11793.533089442644;78.88735776290599;33.87170254039814;34.17326824115983;4.287388720021118;108.15198031379204;108.14023738197969;116.85836641690204;0.29941086490174346;0.0;0.5551044155823897;0.0;0.36403145986077;0.10393;0.016485;1.8603;1.449825
5;13311.723307121114;83.34688346421946;31.849232107751178;32.55978902491304;2.9709309397112134;111.8630593469488;110.55654279187418;37.6843872448317;0.3028955018337635;0.0;0.33833045238504583;0.0;0.3580337345362675;0.1094;0.014915;1.8603;1.524175
6;12034.519349109916;81.34931691726939;35.449213264529796;35.67122726513091;432.0061492189939;108.61305919305214;108.68569998832228;11.232587555379844;0.2979159666159689;0.0;0.3012850138292817;0.0;0.04681291080065266;0.11487;0.0157;1.8603;1.487
7;13855.865766622088;87.1913901855266;32.475406511224755;34.2277756186797;2.307058663926969;110.22375272158287;110.06435998573863;77.28857276918343;0.3252693743363801;0.0;0.4487499767448525;0.0;0.07420310729248927;0.10393;0.0157;1.908;1.524175
8;11608.879640660978;79.05077551428028;35.245807513170625;35.07521434078424;1054.999999999386;109.01134033350063;108.98624606048729;6.653956726255095;0.2968788785822533;0.0;0.2980695737578017;0.0;0.03140868688228858;0.1094;0.016485;1.8603;1.449825
9;12024.789431598254;82.593954098469;37.37212148829424;36.954825933236606;10.953431041075733;108.30288592140673;108.27167167690443;49.690480368755296;0.3079320634123712;0.0;0.3665084683750193;0.0;0.1670773945444678;0.10393;0.016485;1.908;1.449825
10;13545.65118897705;87.44113622932119;35.595996568508454;35.71840551733375;2.5985690222395696;109.73898425323065;109.81144632925236;40.8920347094221;0.3468725423013613;0.0;0.3835037117999939;0.0;0.17682009695036033;0.1094;0.0157;1.908;1.524175
11;12680.313476181454;80.61935688569551;32.44988976189217;32.35783977509623;3.637204167272;111.15412729265644;111.17035518285734;33.606133453602;0.29987692952502243;0.0;0.328627646578359;0.0;0.4364365699291804;0.10393;0.0157;1.8603;1.487
12;12919.396742566785;90.1346072917832;40.707661381684865;40.91703831104275;1.4218008217262164;108.40900031242735;108.38624230998644;26.762061687334036;0.3744868992874131;0.0;0.3894865400603663;0.0;0.04222455901705406;0.1094;0.016485;1.9557;1.487
13;12100.968534053502;88.68141612329286;43.004876002111324;42.73761357702901;2.3544578203398623;108.08080567685136;107.8555450482208;102.94209796685223;0.35711180426308314;0.0;0.5450523366031998;0.0;0.18562739530936376;0.11487;0.016485;1.9557;1.449825
14;12999.835926699156;83.47345387200771;33.943805499893735;33.93397211098065;2.2133334261454256;109.93270678237063;109.931230004212;51.41847463269245;0.31490261474981224;0.0;0.3761188769904694;0.0;0.17585278984982738;0.11487;0.014915;1.8603;1.524175
15;12975.295387749558;84.49988251655134;34.78996651011642;35.05855296394082;2.513998465433444;110.0228749819285;110.02971893351874;127.24216194957162;0.31886052355309885;0.0;0.600600631126933;0.0;0.1357186038865192;0.10393;0.0157;1.908;1.487
16;14621.85138202771;92.9945711649716;37.455221440625785;36.967123026008636;1054.999999999386;108.96427207414541;108.98624606048729;6.774192753434083;0.3018532826602768;0.0;0.303067054069259;0.0;0.0314086868822458;0.10393;0.014915;1.9557;1.524175
17;14507.673684286785;93.19132680290429;38.17472989373447;37.62059044447596;185.86349045525657;108.83265753379602;108.97644832862272;17.95317230731657;0.30242100484362017;0.0;0.3108303822772783;0.0;0.06391690248130405;0.10393;0.0157;1.9557;1.524175
18;12056.337305532099;81.28280930344175;36.13382651565517;35.517571343468354;1.0000602047693772;107.46274422989184;107.46275094065794;0.01673358513205052;0.5154282392130213;0.0;0.5154282435591219;0.0;1.2036301690890226e-05;0.10393;0.014915;1.8603;1.487
19;11485.943138412384;82.10369616805174;39.192035672279594;38.62003487737728;1.000060559754261;107.46274277575937;107.46274282095564;0.0145197681055411;0.4316560963183512;0.0;0.4316561002256036;0.0;1.8625855436324769e-06;0.11487;0.016485;1.8603;1.487
20;13039.918193150232;88.80301209513952;39.595174054851114;39.10345031906446;1.0119986870437143;107.46434640138004;107.46538093193436;2.933304144504596;0.3084157113901333;0.0;0.30863881707204066;0.0;0.002798544835163036;0.11487;0.014915;1.908;1.524175
21;12447.430578651843;89.08504944444601;42.16104301371816;41.75543660556242;1.0062252643336271;107.48043809886322;107.48043837832395;1.3360300707795227;0.3347248918744201;0.0;0.3347675504913019;0.0;0.0006060023016460594;0.1094;0.014915;1.9557;1.449825
22;11838.344053554585;81.60118714922326;37.304768382589614;36.70792219746467;1.0001577470477885;107.46274611667118;107.4627479233098;0.03973017073100296;0.4925792666927298;0.0;0.4925792923289924;0.0;7.799558726113997e-06;0.1094;0.014915;1.8603;1.487
23;13242.32326844657;88.3457971352209;38.33561418336319;37.83661243667564;1.0323522364571178;107.48961174317077;107.49133424744876;9.965298790856169;0.31231293548991845;0.0;0.31484644601145506;0.0;0.03409377502952825;0.1094;0.014915;1.908;1.524175
24;12882.65179471957;87.45431175043453;38.31217064329276;38.38366196070414;1054.999999999386;108.98229030900448;108.98624606048729;6.775529104477968;0.2967192748712356;0.0;0.2979544475326812;0.0;0.03140868688229422;0.10393;0.014915;1.9557;1.449825
25;12705.020228904164;87.49972169969999;39.072858699524005;39.139643741560405;510.5123530313774;108.48755671203855;108.53507448451822;10.836567816748508;0.29716564691779235;0.0;0.3003103743837189;0.0;0.046087549544110415;0.10393;0.0157;1.9557;1.449825
26;11335.2253943602;83.38510510153095;40.41252134644801;40.50431382881736;1.0328255569240834;107.46743242215828;107.47223042371613;8.489649016354093;0.30051228305207484;0.0;0.3024248973098381;0.0;0.009709254973179662;0.11487;0.014915;1.908;1.449825
27;11578.102041341155;82.93986255461698;39.01827310920429;39.08755041171876;1.1609955336568043;107.59099256299685;107.61363894645905;49.49553685480814;0.30310889928442164;0.0;0.3620385832971164;0.0;0.16378243726388558;0.1094;0.014915;1.908;1.449825
28;13430.261817054112;88.00755343670805;36.13570182684514;36.74635198240945;1.3700891804002728;110.7898741312978;110.0909513084722;30.22915926393392;0.3058222936874656;0.0;0.3288587972495812;0.0;0.09666033860484947;0.11487;0.0157;1.908;1.524175
29;13614.471269831538;87.74460067103998;34.87222511623137;35.746553516479345;1.1709755770618246;111.91192128595672;110.16906172752549;11.452286815045163;0.3060761162513754;0.0;0.3094851643160416;0.0;0.04371812278258805;0.1094;0.016485;1.908;1.524175
30;12380.064820032354;85.52871070114867;38.00027621983456;38.46836868207829;3.5912446246060763;109.1009333366073;109.38355387090417;80.22347754659735;0.2972958541567551;0.0;0.4374445415995361;0.0;0.2173088352364108;0.11487;0.016485;1.908;1.487
31;12110.275849063286;88.17431813169372;42.07321104657945;42.19338843697664;17.345457197752513;106.80488739773578;106.84453924706176;65.11623210250812;0.2996385420546067;0.0;0.39702044666931613;0.0;0.1588020458982081;0.1094;0.016485;1.9557;1.449825
32;12669.233023303335;85.2360778782879;36.89908198229228;37.01910317422246;1054.999999999386;108.98822238425112;108.98624606048729;6.720428151334767;0.29802635697801577;0.0;0.2992362543814621;0.0;0.03140868688227014;0.1094;0.0157;1.908;1.487
33;11438.03287000795;83.71148768513763;40.28409839478083;40.41946563752144;1.2713725305396653;107.48324500380458;107.48086717229056;23.38038872543785;0.2991803441935465;0.0;0.3134567906171904;0.0;0.00999380485475416;0.11487;0.016485;1.908;1.449825
34;14015.920499119004;87.14928441872235;33.317017429500396;33.545307139051964;2.176494852719073;111.83498255753663;111.48795241941325;33.19758161226026;0.3023615296772238;0.0;0.33023592617893155;0.0;0.3850025374965834;0.10393;0.014915;1.908;1.524175
35;12392.188704323333;88.39280826728005;41.06688071440034;41.28419759264981;4.743162077087604;107.27155554420976;107.13720135561249;91.048717332674;0.3084177318899583;0.0;0.4772414488187621;0.0;0.16558121385523733;0.1094;0.0157;1.9557;1.449825
36;11200.933325166145;79.1566040596762;36.61862218059388;36.812975367990106;1.4802250447622982;107.52603710425235;107.5286239755364;79.95313292303476;0.3269136625138336;0.0;0.4573320437150418;0.0;0.06494989610509669;0.1094;0.0157;1.8603;1.449825
