;E_expect (kJ/mol);E_vac_expect (kJ/mol);Hvap_bootstrap (kJ/mol);Hvap_expect (kJ/mol);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dE_expect (kJ/mol);dE_vac_expect (kJ/mol);dHvap_bootstrap (kJ/mol);dHvap_expect (kJ/mol);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values C;epsilon values H-C;rmin_half values C;rmin_half values H-C
0;11663.069981976038;74.63448625777147;30.033449469839386;30.442163719015213;1054.999999999386;108.91368253575031;108.98624606048729;6.479642202837678;0.2970756495379433;0.0;0.2982041478042902;0.0;0.03140868688228687;0.10393;0.014915;1.8126;1.41265
1;16938.88836840696;101.13168693508356;36.184051056974184;35.836105051782816;1.6118688415953606;108.41829431402843;108.84564032589277;85.23086575550151;0.6726617351361567;0.0;0.7541237429143033;0.0;0.4506610628985886;0.10393;0.0157;2.0034;1.56135
2;14445.324538401925;82.65927671768225;26.929154777944692;27.337834746494288;1.8246631275851413;110.03310445804172;109.98829287385641;44.84329236301915;0.35027511068769585;0.0;0.3935319394604162;0.0;0.16829228933886511;0.10393;0.014915;1.8126;1.56135
3;14128.712961519735;95.28617435886845;41.08390532163489;41.23133839397194;1.0628510726734184;108.40181359329107;108.40711700577722;4.800761276834218;0.5275987234357827;0.0;0.5279480750169965;0.0;0.012872003021734676;0.10393;0.016485;2.0034;1.487
4;12597.666361937336;93.22212945113137;43.81334345530686;45.29151585406702;1.2134745137199228;107.51086504879528;108.05098331687763;36.86678899615284;0.4784970404972903;0.0;0.5007054821961271;0.0;0.06447131926496995;0.11487;0.0157;2.0034;1.41265
5;16629.536825242216;102.8008871422363;38.815104211271255;38.7427546024643;1.0005235172642375;108.41776658734811;108.41820597180977;0.12385045682787385;0.7200960370425947;0.0;0.7200962074524657;0.0;0.000621778224607717;0.11487;0.0157;2.0034;1.56135
6;14207.361546568163;95.89625374804363;41.00414357275447;41.526856491353065;3.5174565365537;107.91676656634236;108.07990512763256;74.25245028798709;0.5318790432762134;0.0;0.6091880982223757;0.0;0.18761131373860004;0.1094;0.014915;2.0034;1.487
7;14197.479945644785;95.17811535264568;40.66063304633061;40.848214015737355;1.2153661674413248;108.36442451964209;108.38172603169262;14.705978840265294;0.5203890643275461;0.0;0.5237031900872277;0.0;0.04134149334306901;0.10393;0.0157;2.0034;1.487
8;12516.131736401374;77.79492118954775;30.30591315030657;30.19035163309015;1054.999999999386;109.02739883492175;108.98624606048729;6.421370662485536;0.2981903127131905;0.0;0.2992945148595512;0.0;0.03140868688231392;0.10393;0.014915;1.8126;1.487
9;13983.234905695801;83.8736354615337;30.222887497938427;30.400580783906488;1.2605970974294896;109.70347153242628;109.70351330691929;21.2814912473998;0.3345732793887601;0.0;0.34523283339695715;0.0;0.07600671882962642;0.11487;0.016485;1.8126;1.56135
10;11421.157255331993;81.79543512809664;38.10837194979278;38.570939494465534;2.123614612547243;107.16903736031651;107.24368616979478;101.76313254288016;0.3173672452711509;0.0;0.5161528174964383;0.0;0.17696918866728972;0.1094;0.014915;1.908;1.41265
11;14224.25542220874;83.69397381957054;29.094120465889354;29.256828479376463;1.6670498507497562;109.78856879748474;109.78862731803308;40.86284434155272;0.3317215941924829;0.0;0.3698047715249825;0.0;0.14888756343710924;0.1094;0.016485;1.8126;1.56135
12;12514.055182179887;92.06505181898126;44.63844856237506;44.46904415057559;1.8418480780910416;106.08341051215548;106.45484837729704;153.00362594200138;0.4242653828725191;0.0;0.7446897808929821;0.0;0.42471375984777976;0.10393;0.016485;2.0034;1.41265
13;14613.438243897945;90.5105252542809;34.15503335242709;34.516777052425;1.1543083918355663;108.4727328661516;108.51709172407298;20.606737348911807;0.4018822354210947;0.0;0.41024813620985306;0.0;0.1128579990673694;0.1094;0.014915;1.908;1.56135
14;10893.507438047149;74.87996964204122;34.077874766585076;33.766049180693216;1.0420732728075603;107.48313835966428;107.48226890511762;7.542852594916841;0.3041373492871898;0.0;0.30563023612831164;0.0;0.00330106956900969;0.1094;0.016485;1.8126;1.41265
15;12523.024128617975;85.13763762047958;37.21985989755743;37.50563359616285;2.4793427144047944;107.56842247752266;107.6486123250252;98.72317652686792;0.3408412064489497;0.0;0.5216444935227785;0.0;0.16334490047482084;0.1094;0.0157;1.908;1.487
16;15358.028308602368;92.26724215665732;33.6269183155665;33.29508631139573;1054.999999999386;108.96776815009184;108.98624606048729;6.826564362492419;0.30515636536562496;0.0;0.3063756501896751;0.0;0.03140868688220819;0.10393;0.016485;1.908;1.56135
17;11472.502180237025;82.68460581041674;39.759888256292385;39.2547066084598;1.000019231268798;107.61994226960228;107.4800099885598;0.004173822733635069;0.8662532662698389;0.0;0.8662532664307231;0.0;1.9031530667650226e-06;0.10393;0.0157;1.908;1.41265
18;10991.152268374577;74.83952335624178;33.47076366197794;33.334871671891364;1054.999999999386;109.02719230103037;108.98624606048729;6.6305690239784685;0.2970260270269092;0.0;0.2982077998154331;0.0;0.03140868688228573;0.11487;0.016485;1.8126;1.41265
19;17118.392178962353;102.36506982446714;36.73233163449606;36.351350946773536;1.0685832633057557;110.09997997851777;110.05110736822157;12.34471991915717;0.6963651396139042;0.0;0.6981136594238129;0.0;0.0675130415875357;0.1094;0.016485;2.0034;1.56135
20;13058.467077771533;91.65718874271263;42.36585160832885;41.88337162623901;2.2164700553332013;108.11104568706074;108.0574790840769;58.50928782782788;0.4325024030247915;0.0;0.4917638832394903;0.0;0.06466050536479548;0.10393;0.014915;2.0034;1.41265
21;14679.379497785563;91.1863906388896;35.10345674139888;34.92876459876148;1.1135282574009413;109.65648628510158;109.63414837497585;5.551613382192412;0.4688253677058905;0.0;0.4693509901890926;0.0;0.029023417661566568;0.11487;0.016485;1.908;1.56135
22;11677.671440039949;74.77931575857181;30.673169700539077;30.528361184496642;14.473674952805364;111.17688474204584;111.22588035031481;49.51515587178184;0.2967070127972373;0.0;0.35673948833498925;0.0;0.2254167214765952;0.1094;0.014915;1.8126;1.41265
23;12248.482873871946;77.77902023969935;31.636800246597584;31.244933895174157;1.7410721473197066;109.89607505227995;110.09751522188769;30.46621075784977;0.3062521065722813;0.0;0.32960793811473177;0.0;0.10900867745243067;0.1094;0.0157;1.8126;1.487
24;17133.10457764008;100.87608265462832;35.2270783798204;34.80350861101332;1.0629160372374509;110.10001031389015;110.10626786829357;19.945369690312017;0.6399116084642665;0.0;0.6448658395367453;0.0;0.008716149759628951;0.10393;0.014915;2.0034;1.56135
25;14860.648727563395;90.46276364386105;33.66584461720747;33.480051382177216;1.4413251459775749;109.71783933718504;109.72625178470557;23.07154164470436;0.4481248499222934;0.0;0.4575288162991145;0.0;0.09094781214908997;0.1094;0.0157;1.908;1.56135
26;14486.959855852481;98.02181160896255;43.00029566334232;42.53392957470051;1054.999999999386;108.96325142114223;108.98624606048729;7.047172742586148;0.30336771719045025;0.0;0.30467453805992706;0.0;0.03140868688235555;0.1094;0.0157;2.0034;1.487
27;12385.264049072504;78.29819708271347;30.651562841638178;31.216955273125034;1.025787938293725;110.40286978022804;110.40211186543041;3.940852950276664;0.9899549151199784;0.0;0.9900804104338672;0.0;0.017376156892517737;0.1094;0.014915;1.8126;1.487
28;13927.535483856702;98.98653085392321;46.69154759822123;45.736527005308545;29.075905642337194;106.80616105082474;107.1971602757446;47.97741601971199;0.3061775649303999;0.0;0.361350274190729;0.0;0.14823390513410015;0.11487;0.016485;2.0034;1.487
29;14687.689829049881;84.4742256044287;28.222279585128323;28.18312050555677;1.0004880035839083;111.98758309436892;111.9879472513148;0.0062038566004187475;0.4875361530439978;0.0;0.487536153675549;0.0;0.0005151213067529301;0.10393;0.016485;1.8126;1.56135
30;12939.118577471047;85.72121847011542;36.47753793215758;36.424598655340574;1.4606743028531446;110.02537504942495;110.00499891734607;111.90105128983204;0.4838117957522811;0.0;0.6591080189270181;0.0;0.4879226957060578;0.10393;0.0157;1.908;1.487
31;12578.661450012372;95.08617411316744;47.544342341947186;47.23163769146862;1.0207868593553078;107.48000588526644;107.48140246852707;4.431758361405025;0.3249617268156801;0.0;0.3254448825989583;0.0;0.001953710574282929;0.11487;0.016485;2.0034;1.41265
32;14328.05548111115;98.13510881188287;43.785964815572264;43.2828691904533;323.98856489216575;108.69288461272122;108.73957410863326;13.986631963335464;0.30390253642860443;0.0;0.3090093293949268;0.0;0.050986145896865495;0.1094;0.016485;2.0034;1.487
33;10463.77907922033;75.28191966081707;34.666992057106555;35.886914607063176;1.0000000012623786;107.46274131239755;107.46274131249537;2.6973983046972182e-06;1.6308994884037815;0.0;;0.0;;0.11487;0.0157;1.8126;1.41265
34;14364.03478169226;99.0472627722073;43.67698557035924;44.051081034586154;1054.999999999386;109.01678656397124;108.98624606048729;7.142175445650389;0.3042302815879934;0.0;0.3055687074402684;0.0;0.031408686882298927;0.11487;0.0157;2.0034;1.487
35;10583.903263173268;75.47338248973983;30.43263758982284;35.597880700125906;1.000000328442212;110.38606277088331;107.46274179066178;0.00016767319470089654;1.8506469333145743;0.0;1.850646933314696;0.0;6.763223241514098e-07;0.11487;0.014915;1.8126;1.41265
36;12253.708033598046;78.58115411258723;30.86305550419613;32.026134467162045;1.184379942635822;110.4141341945178;110.42090131672329;1.2013731835766377;1.0036521905524098;0.0;1.0036636948509512;0.0;0.00881765934668083;0.1094;0.016485;1.8126;1.487
37;10979.723575081489;82.66187592622981;38.72227398125343;41.20309288902777;1.0000001276839678;107.5281403826602;107.46274134729751;3.648972791616248e-05;0.9956683185649524;0.0;0.9956683185649631;0.0;5.1619136559035694e-08;0.1094;0.0157;1.908;1.41265
38;12731.158478696092;94.39838785687657;45.56049836522638;45.93386258210808;1.1052700620008868;107.48212488008393;107.4887127140405;20.27616991106053;0.35532324880111754;0.0;0.3644620421935645;0.0;0.01051353175885672;0.1094;0.016485;2.0034;1.41265
39;14216.304463042492;84.41817701691289;29.405684849093298;30.012619172906103;1.0802412032105533;111.98831158575516;111.93061224572105;0.2297890098036274;0.5431225577002381;0.0;0.5431233355265163;0.0;0.07844677504603284;0.11487;0.014915;1.8126;1.56135
40;10654.95813097578;83.105463586235;40.64710414241013;42.945742325458454;1.0000002243723616;107.47966386117692;107.46274132107672;5.237400137995141e-05;0.9013462914648362;0.0;0.9013462914648606;0.0;5.1619136559035694e-08;0.11487;0.016485;1.908;1.41265
41;14419.4749453699;84.19169080075271;28.355270361653503;28.973447800115913;1.0350702584302214;111.98831158593343;111.96256591265586;0.15199332442516494;0.5628157637982423;0.0;0.5628160921867734;0.0;0.03578224107638985;0.1094;0.014915;1.8126;1.56135
42;12538.246670042412;85.54188532311288;38.28470201485987;37.848856032091106;1054.999999999386;108.93957021718931;108.98624606048729;6.760889975147397;0.29780775484413685;0.0;0.2990331302505889;0.0;0.03140868688227952;0.11487;0.014915;1.908;1.487
43;12925.26994667348;93.12427749615378;44.41608995325328;43.8833230232199;1.777721557393922;107.38393666381313;107.32362613787664;34.754289284216554;0.3346820177377455;0.0;0.3624056058044056;0.0;0.1184124927333826;0.1094;0.014915;2.0034;1.41265
44;11180.869112372908;82.09704941300645;40.19604919521521;39.83368162970898;1.075087782054611;107.4869708652114;107.48845352303923;15.076823064737008;0.3135224230589297;0.0;0.31926991599798554;0.0;0.00996041753700339;0.11487;0.014915;1.908;1.41265
45;17117.576593820082;102.51468433183248;38.13444288771374;36.5042182251014;1.5130649915013386;109.54973828657829;110.14585594809591;115.10427698524492;0.4734765586532098;0.0;0.6604271079424143;0.0;0.0508328705547539;0.1094;0.014915;2.0034;1.56135
46;14751.006931501875;91.14905165721035;35.24077443317893;34.604870635132045;1.420427360216431;109.97181457942752;110.08213931512512;31.196631072532234;0.3294180239538145;0.0;0.3522611407143145;0.0;0.10256166234331532;0.11487;0.014915;1.908;1.56135
