;E_expect (kJ/mol);E_vac_expect (kJ/mol);Hvap_bootstrap (kJ/mol);Hvap_expect (kJ/mol);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dE_expect (kJ/mol);dE_vac_expect (kJ/mol);dHvap_bootstrap (kJ/mol);dHvap_expect (kJ/mol);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values;rmin_half values
0;12668.847921137825;84.94350202169664;36.731624900348734;36.72806924335011;1037.7183241426728;108.97075777126938;108.97122569529905;6.967763971487518;0.17681132166962166;0.17642582673026386;0.17899452292634518;0.038774036816428464;0.03264886486967085;0.1094;1.908
1;13257.165982397022;86.02986342924322;35.46394385467407;35.46099484972622;1518.6601394918796;110.59019961078491;110.59059335552698;5.63924947444597;0.17678568330261688;0.17576011768431385;0.17821895517065553;0.029761322960811677;0.0265419498589061;0.10220000002;1.92580500001
2;12664.767939543884;84.62283943030609;36.427372079421396;36.42370863635347;825.2837933694107;109.14827534358714;109.14886908013791;7.627305268859106;0.17698814019858794;0.17712499536802065;0.17959848093433056;0.04096400801889133;0.03477238540086531;0.1094;1.9045
3;12799.302942204275;84.48936432014949;35.756897443657365;35.752031514693535;561.0401853886917;109.76128112672043;109.76273899838377;8.916089339036704;0.17714150051784938;0.17842373265937994;0.18069603650528032;0.048309504954454234;0.041271119211239014;0.1076;1.9045
4;12930.736988191276;84.35553527026747;35.098990373622144;35.09240391245043;251.85591357746543;110.3769966650348;110.3802480390317;13.616731469640728;0.1773286174616902;0.1834621018690905;0.1855049450276766;0.07062835948038554;0.06581439585228721;0.1058;1.9045
5;12805.809513723754;84.80591259700388;36.04696335393357;36.042571097436856;992.1752236092008;109.58738720870913;109.58856110888505;6.898822548286137;0.17691323819498103;0.1766442031161853;0.17905248923256348;0.040884642587343936;0.03268723696171846;0.1076;1.908
6;12660.638280716828;84.30821693695354;36.12947604697784;36.12558730571378;501.5385728540537;109.32123851667544;109.32186507364143;9.633619634371447;0.17725115149954865;0.1791114376858241;0.18139150135100493;0.04803286489612337;0.04235463287132347;0.1094;1.901
7;12668.847921591603;84.94350202169664;36.73162489891054;36.728069241535025;1037.7183244713485;108.97075777120891;108.97122569523836;6.967763853694638;0.17681132166962168;0.1764258265959438;0.17899452285297954;0.0387740373733449;0.03264886511539869;0.1094;1.908
8;12940.095773064924;84.6679550740561;35.37278510666655;35.367405471455065;538.2118963220224;110.21095679813965;110.21297367658373;9.414143567769626;0.177048765922669;0.1787334074509606;0.1810090691679529;0.051793625124013136;0.04480180104934674;0.1058;1.908
9;12920.009601624282;84.0490014296405;34.8373188481;34.828763891882694;120.95079584473879;110.53008055968841;110.53595307597945;19.066161432391404;0.17769271435907003;0.1917506969703811;0.1933675180115169;0.09927719625919704;0.0977063191570293;0.1058;1.901
