;E_expect (kJ/mol);E_vac_expect (kJ/mol);Hvap_bootstrap (kJ/mol);Hvap_expect (kJ/mol);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dE_expect (kJ/mol);dE_vac_expect (kJ/mol);dHvap_bootstrap (kJ/mol);dHvap_expect (kJ/mol);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values;rmin_half values
0;12666.345157998303;84.75041375187143;36.55566920599306;36.54499190793318;1072.9396120196564;108.97171358247542;108.97239549542715;6.944675286097004;0.18039848681086426;0.18206287030290205;0.1825247114560247;0.04151223786658787;0.033114759376117534;0.1094;1.908
1;13222.84299484616;85.13901948589705;34.71899460246451;34.707409838617664;1648.9256165032587;110.9165296995;110.9175039081831;5.383750568459643;0.1804569890112743;0.18099961193430286;0.18173739629817026;0.03213920696635069;0.026730423348210783;0.102200007296;1.91839456869
2;12420.796137534537;83.70401536500731;36.493436907486576;36.480823008183926;227.832426677228;108.64250555676584;108.6416503489349;15.923916824313649;0.18056351070558066;0.1906081575383401;0.19146884724816102;0.06093435435998585;0.05921811597048907;0.1126;1.894
3;12539.08932385586;83.5941247697351;35.91156611893897;35.897710312195464;228.3100708623552;109.13036625823436;109.13031798208112;16.558116143988727;0.1806673152770071;0.19199979626834296;0.19242509765481008;0.06267068155132552;0.05794963223432115;0.111;1.894
4;12655.50854685474;83.4839719852716;35.33757217530729;35.32182875582165;175.97710985084873;109.6425191754013;109.64398050482508;18.302872350764943;0.1807928548305667;0.1946441838501656;0.1950537838113391;0.07003719142563034;0.06318034845926393;0.1094;1.894
5;12539.99764271916;84.22236310628202;36.53375665066821;36.522349559700814;614.2406992912263;108.79172663870186;108.79183865909846;9.183463672896576;0.18039172012424906;0.18353778134649887;0.1840938586323524;0.044508502602259775;0.03992514170560388;0.111;1.901
6;12420.712292786999;84.01860857922577;36.80758492799325;36.795768792592895;340.23817682869617;108.47218586408931;108.47144044440222;12.196721978398587;0.18042617102616249;0.18608797652287493;0.18690576141624274;0.052899155525146235;0.05157056710482733;0.1126;1.8975
7;12538.482264737593;83.90525812135539;36.223477709408044;36.21128915107034;406.5226822908488;108.95950244123271;108.95951816511891;11.679459488065572;0.1804901597879504;0.18592397076575545;0.18643833882799327;0.050826832251658384;0.04615169971409236;0.111;1.8975
8;12421.673589847795;84.3392420135992;37.123650837103355;37.112574434835295;417.4779330018021;108.30061480110292;108.29920171011177;10.614674666626298;0.1803689876447091;0.18457880139006766;0.18529898225275687;0.05345371238243598;0.05189969355724548;0.1126;1.901
9;12655.71275791564;83.79163660628744;35.64182090590468;35.62869385532221;359.46330955491305;109.47171964727544;109.47246834324768;12.377454343034326;0.18057612445068;0.18686663439578344;0.18724037694957846;0.054512881780949964;0.046829038780578265;0.1094;1.8975
10;12658.442417829528;84.1052038899347;35.94322112119833;35.93135933042771;657.5674915095838;109.30523257387208;109.30582365245779;8.861344239579903;0.1804366810007332;0.18344352020608964;0.1838852104244375;0.04600863868432308;0.037782286655608316;0.1094;1.901
11;12666.345158182268;84.75041375187143;36.54504053729165;36.54499190719729;1072.9396112278482;108.97412598590256;108.97239549580216;6.944675313626193;0.1803984868108652;0.17600950953826314;0.18252471147278448;0.03961993728038338;0.033114759411240806;0.1094;1.908
12;13222.84299476473;85.13901948589705;34.708772113087164;34.70740983894341;1648.9256159502895;110.91677278741548;110.91750390797912;5.38375056881726;0.1804569890112759;0.17512640811853644;0.18173739629834126;0.03223675660905172;0.02673042333911917;0.102200007296;1.91839456869
13;12481.638308965465;86.18930277167203;38.71836661531361;38.72285724537432;29.562681617385035;107.52067639150648;107.49792510763857;33.931546685163624;0.18156051317323504;0.220688230369646;0.2266844015277243;0.14308644175325885;0.13470261427509544;0.1126;1.92
14;12542.564297049468;86.81354877514427;39.09528369061975;39.10340479182093;15.921474269450776;107.46437758719023;107.44351609374277;51.98471285616933;0.1825071089842956;0.26976892715548195;0.27667202774932137;0.14626179813048665;0.13183631706183124;0.1126;1.926
15;12509.990036228113;86.49894947830931;38.91322167296701;38.91910092770131;21.11709802657107;107.4819946356254;107.45946233223309;42.56356966812224;0.18199743907346969;0.2428304608413127;0.2492179516424273;0.14620294026417294;0.13476131824265858;0.1126;1.923
16;12626.15993652937;86.66938677869196;38.61400863410953;38.62482981230317;23.28162658873525;107.7684132416572;107.74475516167836;47.87337921081362;0.18218813360414784;0.25455684817801977;0.2643147426271621;0.12995859690271944;0.12162605805073524;0.111;1.926
