;E_expect (kJ/mol);E_vac_expect (kJ/mol);Hvap_bootstrap (kJ/mol);Hvap_expect (kJ/mol);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dE_expect (kJ/mol);dE_vac_expect (kJ/mol);dHvap_bootstrap (kJ/mol);dHvap_expect (kJ/mol);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values;rmin_half values
0;68202.4323745688;566.9084839913565;295.1232749514512;296.55706176855296;1994.9999999961608;125.32911721078275;125.32400523167576;4.7792936306621865;0.6938596177304102;0.0;0.6941229253380193;0.0;0.010332953773721705;0.15;2.5
1;37428.700556853015;206.0767436231961;58.933828948412206;58.81715042574878;1371.0000000027221;155.9545688784631;155.99970331928137;5.945954750435622;0.3102302791695297;0.0;0.3111406373390914;0.0;0.06557416354447908;0.032838514744;2.47399343003
2;44213.42271719002;272.38208974842803;90.49955429476962;97.98441565394224;1.0;125.91408756216049;148.0022349074583;1.0536712127723507e-08;0.3604324054430476;0.0;0.3604324054430476;0.0;3.371747880871523e-07;0.085;2.4
3;48263.54569852082;297.29587109968145;107.00202785304633;106.69770507987249;1.0;125.91408756273806;148.00223490746725;0.0;0.383516755075913;0.0;0.383516755075913;0.0;5.840038639982171e-07;0.085;2.425
4;54560.54468979179;338.25983368119546;135.8591866151385;122.47367169436987;1.0000078619350368;125.91408756221479;148.00225404368072;0.0024368243136812908;0.4108663204324995;0.0;0.4108663205481209;0.0;2.706234669430296e-05;0.09;2.45
5;44827.349750659494;277.3189121402997;94.79181957208479;100.46552991193607;1.0;125.91408755975787;148.0022349074583;1.4901161193847656e-08;0.3653859287039268;0.0;0.3653859287039268;0.0;3.371747880871523e-07;0.0875;2.4
6;52850.98379520207;325.34239491587897;125.29769646969022;116.3944765069877;1.0000095889784226;125.91408756299866;148.00225824740488;0.0029669615729337484;0.4041296067111397;0.0;0.4041296068853979;0.0;3.3008705711129724e-05;0.085;2.45
7;49717.17669076653;308.6339766346528;116.55138372034149;112.22128664586106;1.0;125.91408755893049;148.00223490746137;2.1579186437577742e-05;0.39179069687877865;0.0;0.39179069687878815;0.0;4.76837158203125e-07;0.09;2.425
8;45441.31674583257;282.2617420475504;99.08509760583229;102.95249183849441;1.0;125.914087551112;148.0022349074583;1.4901161193847656e-08;0.3700680781621639;0.0;0.3700680781621639;0.0;4.76837158203125e-07;0.09;2.4
9;48990.384618273136;302.96532894445284;111.77947833782726;109.4598072456346;1.0;125.9140875618976;148.00223490746353;0.0;0.3877923875233456;0.0;0.3877923875233456;0.0;7.539457464619588e-07;0.0875;2.425
10;53705.83593224593;331.80473521779237;130.5841510591043;119.43740826095434;1.0000086586993422;125.91408756281693;148.00225598316598;0.0026824239432795085;0.4076306956085737;0.0;0.4076306957497877;0.0;2.980899736039693e-05;0.0875;2.45
11;68202.43237457836;566.9084839913539;296.66170343152646;296.55706176851214;1994.9999999961608;125.31671287238493;125.32400523167576;4.779293630172256;0.6938596177303794;0.0;0.6941229253379345;0.0;0.01033295377625165;0.15;2.5
12;37428.70055688641;206.07674362319676;58.028541921517935;58.81715042561584;1371.0000000027221;155.2614642070873;155.99970331928137;5.945954751012608;0.3102302791695183;0.0;0.3111406373392564;0.0;0.06557416354777064;0.032838514744;2.47399343003
13;39270.66358173037;243.27588105400488;72.48706218081205;88.6492435013578;1.0;124.64277208983435;148.0022349074583;1.4901161193847656e-08;0.32657287301117993;0.0;0.32657287301117993;0.0;6.743495761743046e-07;0.088;2.36
14;40396.30715568913;251.2581520974258;78.90201889791706;92.12894024894364;1.0;124.64041635893447;148.0022349074583;1.4901161193847656e-08;0.3368871283155407;0.0;0.3368871283155407;0.0;6.743495761743046e-07;0.0905;2.365
15;40874.93116927385;255.2835623740453;82.6023804153781;94.23985447122429;1.0;124.63797871113212;148.0022349074583;1.4901161193847656e-08;0.34194230837394524;0.0;0.34194230837394524;0.0;3.371747880871523e-07;0.093;2.365
16;40582.13835474241;251.335557546622;78.0163771074754;91.46302090192671;1.0;124.64092636850019;148.0022349074583;1.0536712127723507e-08;0.3367498676162233;0.0;0.3367498676162233;0.0;0.0;0.088;2.37
17;40192.965353739135;251.05721405994387;79.6901105000629;92.74136941926169;1.0;124.6390120944948;148.0022349074583;1.0536712127723507e-08;0.3368931451408971;0.0;0.3368931451408971;0.0;0.0;0.093;2.36
18;39917.81936994304;247.24819979001404;75.21440316849403;90.03293908451626;1.0;124.64187781831517;148.0022349074583;1.0536712127723507e-08;0.3316534802407853;0.0;0.3316534802407853;0.0;0.0;0.088;2.365
19;39731.739760124;247.15775558776974;76.0812273581074;90.68681332154812;1.0;124.64136769431923;148.0022349074583;1.0536712127723507e-08;0.33180628727064715;0.0;0.33180628727064715;0.0;0.0;0.0905;2.36
20;41574.98913380865;259.6271183755817;85.58966982704194;95.7831786146214;1.0;124.63688605403765;148.0022349074583;1.8250120749944284e-08;0.3469490236376651;0.0;;0.0;;0.093;2.37
21;41078.502373392126;255.47459916958968;81.79754340224696;93.61660645029552;1.0;124.63940596024578;148.0022349074583;1.8250120749944284e-08;0.3419506004152061;0.0;;0.0;;0.0905;2.37
22;68202.43237459558;566.9084839913552;295.34282192268836;296.5570617684444;1994.9999999961608;125.31082875233871;125.32400523167576;4.7792936302133215;0.6938596177303845;0.0;0.6941229253379442;0.0;0.010332953777647659;0.15;2.5
23;37428.70055680851;206.07674362319645;58.25656087939537;58.817150425927174;1371.0000000027221;155.90442773298508;155.99970331928137;5.945954750849432;0.3102302791695211;0.0;0.3111406373392094;0.0;0.06557416354445497;0.032838514744;2.47399343003
24;59130.279124007975;370.9689265338994;164.0844703197388;136.9038267178945;1.0003834433976593;124.74340280093149;148.00316804923412;0.11620305138765533;0.4245371517435748;0.0;0.4245374061975591;0.0;0.00131940884757302;0.1;2.455
25;59686.044411141476;376.7861386634806;170.0293508045917;140.4979777919887;1.0000048828429076;124.74340279792843;148.00224679258042;0.001524657714452734;0.4259137565443837;0.0;0.4259137565880467;0.0;1.6808087093367165e-05;0.105;2.45
26;60316.99729418298;378.09864744903;168.6517934412834;139.28666778893574;1.029957472292705;124.74340281344129;148.07409269572318;8.60515119959784;0.427392721877492;0.0;0.4287765348649548;0.0;0.10012221779968647;0.1;2.46
27;60011.793637831106;377.5314424871112;169.40555424680485;139.9402846137179;1.000391972341104;124.74340280300348;148.00318880102802;0.11877234399291275;0.4266485603006468;0.0;0.4266488248156186;0.0;0.001348744965194851;0.1025;2.455
28;57978.03265876305;363.98878505592;159.59684267905803;134.53267119376088;1.000005618691537;124.7434027962827;148.00224858350387;0.0017520385857430815;0.4215965508492676;0.0;0.4215965509075155;0.0;1.934866291549061e-05;0.1;2.45
