;E_expect (kJ/mol);E_vac_expect (kJ/mol);Hvap_bootstrap (kJ/mol);Hvap_expect (kJ/mol);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dE_expect (kJ/mol);dE_vac_expect (kJ/mol);dHvap_bootstrap (kJ/mol);dHvap_expect (kJ/mol);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values;rmin_half values
0;47274.92466613874;303.2914159012452;115.96790404039652;116.64992786985438;985.999999997292;125.83528527233535;126.28085976041605;6.548238025210615;0.3917048373083807;0.0;0.3925796101635767;0.0;0.02352163065447916;0.085;2.45
1;28932.906903111103;221.291716838559;107.80928495882094;108.01972245089078;1635.9999999957038;112.19823149440913;112.19579429510536;5.25584487300374;0.3537345290071592;0.0;0.3543587158504932;0.0;0.014101656958088573;0.1085;2.285
2;20959.29818352984;187.5213214721787;90.83523946075172;106.14378800662108;1.0000000003055902;111.9072562193428;111.93793503219109;0.0;6.911976843724352;0.0;6.911976843724352;0.0;0.0;0.0975;2.18
3;20483.91825971412;184.93152262291736;89.87641983912094;105.45550885262266;1.0000000001964509;111.84813528039808;111.93793503217373;7.62939453125e-06;6.833763757823973;0.0;6.833763757823973;0.0;4.214684851089404e-08;0.1;2.17
4;20950.15131928833;189.14681638819667;92.86642591308832;107.8058703796051;1.0000000006693879;111.85431057351171;111.93793503217053;1.0789593218788871e-05;6.94487931549419;0.0;6.94487931549419;0.0;4.214684851089404e-08;0.1;2.18
5;20712.695045251334;187.04773519808938;91.37808672201822;106.65661428564579;1.000000000363798;111.8510681783923;111.93793503217356;1.52587890625e-05;6.902964503540093;0.0;6.902964503540093;0.0;4.214684851089404e-08;0.1;2.175
6;20504.083546139875;183.29793041412586;87.8620675345244;103.74125549812813;1.0000000000873115;111.89502411845369;111.9379350321853;1.3214498959113138e-05;6.763821101578055;0.0;6.763821101578055;0.0;5.1619136559035694e-08;0.0975;2.17
7;20524.94131744124;181.62608695604118;85.65292717817599;101.98598095483801;1.0000000000509317;112.03751281949648;111.93793503218622;7.62939453125e-06;6.68179740875311;0.0;;0.0;;0.095;2.17
8;20969.129187700448;185.84632935442932;88.5902381001977;104.42947187218924;1.000000000174623;112.06365705375708;111.93793503220832;0.0;6.862452571759743;0.0;6.862452571759743;0.0;4.214684851089404e-08;0.095;2.18
9;20742.898137645287;183.73805075542128;87.12616516409706;103.22611747340187;1.0000000000873115;112.04902610385643;111.93793503219929;;6.782274666015122;0.0;;0.0;7.884953353001446e-08;0.095;2.175
10;20727.452381820432;185.41461279948703;89.35371965892605;104.96446254076706;1.0000000001600708;111.90052916475977;111.93793503218798;;6.8497275796240125;0.0;;0.0;0.0;0.0975;2.175
11;47274.92466611553;303.2914159012451;116.45193306853432;116.64992786994713;985.999999997292;126.29650370355259;126.28085976041605;6.5482380261553095;0.39170483730879;0.0;0.3925796101642372;0.0;0.02352163070817366;0.085;2.45
12;28932.90690312042;221.29171683855913;107.09073797074859;108.01972245085358;1635.9999999957038;112.45067731020781;112.1957942951053;5.255844872943625;0.3537345290073092;0.0;0.3543587158506287;0.0;0.014101656958051725;0.1085;2.285
13;19498.45767169028;182.52507152224055;110.30734891224242;106.99090010404119;1.0000000004874892;111.75146491377363;111.93793503215944;0.0;6.7331409469191374;0.0;;0.0;;0.11;2.15
14;19713.19139738045;184.6767692242707;111.50008663184059;108.28366290331059;1.0000000008949428;111.7497027459273;111.93793503213794;;6.831418442065755;0.0;;0.0;5.960464477539063e-08;0.11;2.155
15;19936.49713435701;186.81893766946598;112.62012323288505;109.53260840059966;1.0000000016807462;111.74746758390843;111.9379350320867;0.0;6.907528567312419;0.0;6.907528567312419;0.0;2.9802322387695312e-08;0.11;2.16
16;19992.77097141828;183.81934243966427;109.55590893396605;106.30791782255287;1.0000000003128662;111.75891222951252;111.93793503216752;7.62939453125e-06;6.791184556480233;0.0;6.791184556480233;0.0;4.214684851089404e-08;0.105;2.16
17;19745.843994318402;183.19406324681984;109.95579470925004;106.670346538108;1.0000000004001777;111.75418491466968;111.93793503216091;7.62939453125e-06;6.764173892605891;0.0;6.764173892605891;0.0;4.214684851089404e-08;0.1075;2.155
18;19779.10415250166;181.67913770392613;108.35536634483469;105.02238036248123;1.000000000174623;111.7593348568187;111.93793503217071;0.0;6.687128971732022;0.0;6.687128971732022;0.0;4.214684851089404e-08;0.105;2.155
19;19535.74623498901;181.04688911455432;108.72848189915359;105.36356344316;1.0000000002182787;111.75508917553888;111.93793503216752;1.0789593218788871e-05;6.654008102037438;0.0;6.654008102037438;0.0;7.300048299977712e-08;0.1075;2.15
20;19964.331789083397;185.33749918236842;111.11961145105677;107.93983129459663;1.0000000007275958;111.75305807173339;111.93793503213767;1.0789593218788871e-05;6.8551657079104364;0.0;6.8551657079104364;0.0;5.1619136559035694e-08;0.1075;2.16
21;19573.64526666411;179.54031865120723;107.09965649408925;103.70539685311256;1.0000000000945874;111.75971658008021;111.93793503217907;1.0789593218788871e-05;6.566656997641886;0.0;6.566656997641886;0.0;2.9802322387695312e-08;0.105;2.15
22;47274.924666130995;303.2914159012448;116.87408978167902;116.649927869885;985.999999997292;126.32077110852234;126.28085976041605;6.548238027459707;0.3917048373084493;0.0;0.3925796101642454;0.0;0.02352163063479113;0.085;2.45
23;28932.906903115738;221.2917168385593;108.35614891287676;108.01972245087252;1635.9999999957038;112.59618064456951;112.19579429510523;5.25584487238333;0.3537345290072452;0.0;0.35435871585043177;0.0;0.014101656958060156;0.1085;2.285
24;20712.695045251334;187.0477351980895;94.50886891129556;106.65661428564587;1.000000000356522;111.82604446565833;111.93793503217356;1.3214498959113138e-05;6.90296450354029;0.0;;0.0;;0.1;2.175
25;20464.422540661304;186.52469597010617;94.9597922140637;107.1266650760227;1.000000000458385;111.77294831515772;111.93793503216595;1.52587890625e-05;6.890689113973282;0.0;6.890689113973282;0.0;5.960464477539063e-08;0.1025;2.17
26;20685.15144489517;190.17292961289908;98.56921537461668;109.89198310188014;1.00000000205182;111.75653229716411;111.93793503206993;0.0;6.962534215413933;0.0;6.962534215413933;0.0;5.960464477539063e-08;0.105;2.175
27;20950.15131928628;189.1468163881971;96.11954147868992;107.80587037961371;1.0000000006693879;111.83285414008732;111.93793503216038;1.52587890625e-05;6.944879315494322;0.0;6.9448793154943225;0.0;4.214684851089404e-08;0.1;2.18
28;20445.57036644634;188.07507770338975;96.93587679742748;108.75245550616616;1.0000000010841177;111.75730933799478;111.93793503212872;1.3214498959113138e-05;6.933627060594423;0.0;6.933627060594423;0.0;4.214684851089404e-08;0.105;2.17
29;20698.603357731703;188.6347913667669;96.59718180947495;108.30003720440183;1.000000000851287;111.77399073528707;111.93793503214776;7.62939453125e-06;6.940929028223003;0.0;6.940929028223003;0.0;5.960464477539063e-08;0.1025;2.175
30;20483.918259716127;184.93152262291653;92.87865359751629;105.45550885261378;1.0000000001964509;111.82088481033081;111.93793503218387;;6.8337637578244035;0.0;;0.0;4.214684851089404e-08;0.1;2.17
31;20941.66602281584;190.71966490956052;98.21022743228217;109.41266008685888;1.0000000016079866;111.77545457284607;111.93793503211471;1.0789593218788871e-05;6.959985825119995;0.0;6.959985825119995;0.0;4.214684851089404e-08;0.1025;2.18
32;20933.816540371223;192.23649454854512;100.17073594297571;110.96088765562193;1.0000000039653971;111.75564292357292;111.93793503197362;1.52587890625e-05;6.956102116642553;0.0;6.956102116642553;0.0;5.960464477539063e-08;0.105;2.18
33;47274.924666119405;303.2914159012452;116.5986396551587;116.64992786993177;985.999999997292;126.21246633534454;126.28085976041605;6.548238025847335;0.3917048373084368;0.0;0.39257961016380266;0.0;0.023521630603495162;0.085;2.45
34;28932.90690309013;221.291716838559;107.83514413497959;108.0197224509747;1635.9999999957038;112.19180379074102;112.19579429510544;5.255844872472414;0.3537345290076714;0.0;0.3543587158508784;0.0;0.014101656958059247;0.1085;2.285
35;20075.81400087965;179.38881138444745;85.46066936767609;101.54521464949056;1.0000000000363798;111.93793503218241;111.93793503218448;1.3214498959113138e-05;6.5569987655662025;0.0;6.5569987655662025;0.0;4.214684851089404e-08;0.098;2.16
36;20542.14583148741;180.2623988188957;84.60047890118061;100.5534747615078;1.0000000000363798;111.93793503220884;111.93793503220004;7.62939453125e-06;6.608087056288309;0.0;6.608087056288309;0.0;4.214684851089404e-08;0.093;2.17
37;20520.712345808977;181.96341844057224;86.61812183708362;102.34022832589808;1.0000000000509317;111.93793503219696;111.9379350321917;1.0789593218788871e-05;6.699124863306977;0.0;6.699124863306977;0.0;0.0;0.0955;2.17
38;20336.43692148627;178.16396926942792;83.05618066762825;99.27788085204456;1.000000000021828;111.93793503220071;111.93793503219885;0.0;6.483118032076018;0.0;6.483118032076018;0.0;5.960464477539063e-08;0.093;2.165
39;20106.765382694284;177.7471861619849;83.50035584662619;99.77978389976955;1.0000000000145521;111.93793503219678;111.93793503218494;;6.4559842326108665;0.0;;0.0;2.9802322387695312e-08;0.0955;2.16
40;20283.85555667192;181.50697562219293;87.03430090738674;102.831212664067;1.0000000000582077;111.93793503218815;111.93793503217964;2.1579186437577742e-05;6.676010134044009;0.0;6.676010134044009;0.0;5.960464477539063e-08;0.098;2.165
41;20499.995593554835;183.62777566288148;88.61207029519491;104.08745255722387;1.0000000001091394;111.93793503219469;111.93793503218352;;6.778805537979653;0.0;;0.0;4.214684851089404e-08;0.098;2.17
42;20138.441325175547;176.0765686901264;81.52103673054212;97.98246265798599;1.000000000007276;111.93793503219429;111.93793503219145;0.0;6.346953185078336;0.0;6.346953185078336;0.0;2.9802322387695312e-08;0.093;2.16
43;20309.78586389913;179.8517373714172;85.0558166521212;101.0722531843824;1.0000000000291038;111.93793503219808;111.93793503218515;7.62939453125e-06;6.584349461472592;0.0;6.584349461472592;0.0;5.960464477539063e-08;0.0955;2.165
44;47274.92466613874;303.2914159012448;116.70957474823562;116.64992786985405;985.999999997292;126.23572484511963;126.28085976041605;6.548238024151787;0.3917048373086454;0.0;0.3925796101635583;0.0;0.023521630667889055;0.085;2.45
45;28932.906903127416;221.2917168385593;108.47571372793688;108.01972245082581;1635.9999999957038;112.19088310803772;112.1957942951053;5.255844871906559;0.3537345290071585;0.0;0.3543587158502321;0.0;0.014101656958055868;0.1085;2.285
46;25107.369985726862;206.4526783962225;102.25643019521608;108.48285771595422;1.000135105863036;111.93793524204665;111.93799367167891;0.032116146293122934;4.8160420086478535;0.0;4.816042010361207;0.0;8.265237705800914e-05;0.085;2.255
47;24766.368505710765;205.17913959967166;101.67182337742544;108.57332484345348;1.0000441848756396;111.93793507347219;111.93795420935152;0.010595413502896809;5.2630055677552905;0.0;5.2630055679259335;0.0;2.7044092778274962e-05;0.085;2.25
48;25008.127760968382;205.26783573209457;100.84146725179991;107.69498395039642;1.000145557582856;111.93793519723124;111.93799826359148;0.034648100438462184;5.234428150728975;0.0;5.234428152563736;0.0;8.923929107695959e-05;0.0825;2.255
49;24909.652615490937;203.89547900759362;99.25088341136171;106.71652780723588;1.0001584682076283;111.93793516298086;111.93800390089953;0.03773977308677925;5.613676818965338;0.0;5.6136768209950825;0.0;9.726947524234852e-05;0.08;2.255
50;24676.52908780748;203.8571828717923;100.10998560325638;107.61072578695921;1.0000493406212123;111.93793506617858;111.93795646719177;0.011842835638260866;5.631653550584082;0.0;5.631653550783317;0.0;3.0262640563992273e-05;0.0825;2.25
51;25350.503847629232;206.54448902205482;101.41791907140079;107.60213288041872;1.0004486321957315;111.93793587643928;111.93812989271852;0.10580405358175876;4.789488067802406;0.0;4.789488086500851;0.0;0.0002748338257814882;0.0825;2.26
52;24587.466238553854;202.3559826391986;98.38183316783129;106.46577695110108;1.0000556733503352;111.93793506033512;111.93795922867474;0.013363887978963778;5.956294105868313;0.0;5.956294106108186;0.0;3.418421213934731e-05;0.08;2.25
53;25242.312402509357;205.31170940093003;99.97797446634549;106.80211903880112;1.0004706039311306;111.93793567187215;111.93813951987036;0.11110053463145796;5.218688210828223;0.0;5.218688229749957;0.0;0.00028867307280703284;0.08;2.26
54;25459.45286596891;207.5880506269109;102.67775623023228;108.20989841265076;1.0004322482132777;111.93793615514765;111.93812261881874;0.10173623305588016;4.329634778499659;0.0;4.3296347976241565;0.0;0.0002641805918600689;0.085;2.26
55;47274.924666146486;303.2914159012451;116.42957820637234;116.6499278698233;985.999999997292;126.32200579713984;126.28085976041605;6.548238026939348;0.3917048373083456;0.0;0.3925796101640031;0.0;0.02352163068794195;0.085;2.45
56;28932.906903106425;221.29171683855913;107.78681757851251;108.01972245090955;1635.9999999957038;112.6134038054783;112.19579429510529;5.2558448714246975;0.35373452900717484;0.0;0.3543587158501341;0.0;0.014101656958020568;0.1085;2.285
57;25613.98780589459;210.1162140150797;109.83620431758509;110.11992205521132;1.000137071726303;112.59219585351241;111.93798306907124;0.02605903885477956;2.527276264735824;0.0;2.5272762668854063;0.0;6.560962152214958e-05;0.0975;2.255
58;25717.20036015215;210.593084816294;110.16246107201437;110.18394263950869;1.0002012383785903;112.35480937527107;111.93798194793581;0.026240847484238976;2.1223816902837163;0.0;2.122381692879223;0.0;6.408732179200871e-05;0.1;2.255
59;25902.194938461373;210.33059258514717;108.73823774761426;109.18147208151571;1.0004413404302728;112.74922857649985;111.93811669237202;0.09701215109259352;2.455019337231353;0.0;2.4550193678994856;0.0;0.0002499000063240134;0.095;2.26
60;25511.370423406508;209.59850822514647;109.58453739005616;110.01268579516712;1.0001201096884142;112.72770241845345;111.93798369601423;0.026397817534278844;2.9667924288803817;0.0;2.9667924307594333;0.0;6.719677607742642e-05;0.095;2.255
61;26014.479348109966;210.8256318380632;108.86523448911724;109.22737369524107;1.0005067855983418;112.64760990078842;111.9381225969526;0.09967470364220388;2.0483839213781807;0.0;2.0483839601796823;0.0;0.00025432277472020766;0.0975;2.26
62;25319.959019306214;209.8865854884677;111.1769886474626;111.0664086786132;1.0000617689395874;112.27256838498094;111.93794682824492;0.006880237733987245;2.613649564281252;0.0;2.613649564426145;0.0;1.6511239712887562e-05;0.1;2.25
63;26127.353144415672;211.31781260613388;109.1020373069754;109.26805927733031;1.0007151133740213;112.44243722022884;111.93813010797314;0.10505052989901563;1.688247939609854;0.0;1.6882479919036597;0.0;0.00026139508915191733;0.1;2.26
64;25132.84450460954;208.80351262519397;110.31229122203302;110.73179387393208;1.0000346261428779;112.69982488414443;111.93794874944868;0.007539872424939045;3.5033763043074173;0.0;3.503376304437233;0.0;1.9001779396862106e-05;0.095;2.25
