;E_expect (kJ/mol);E_vac_expect (kJ/mol);Hvap_bootstrap (kJ/mol);Hvap_expect (kJ/mol);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dE_expect (kJ/mol);dE_vac_expect (kJ/mol);dHvap_bootstrap (kJ/mol);dHvap_expect (kJ/mol);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values;rmin_half values
0;68202.43237457263;552.1101847164375;283.82942672367864;281.75876249361863;1994.9999999961608;125.30587629089716;125.32400523167576;4.7792936307429335;0.6135947350133468;0.0;0.6138924703878769;0.0;0.010332953775636058;0.15;2.5
1;37428.70055682082;198.90956244552441;51.321324145495936;51.64996924820585;1371.0000000027294;155.3513635927281;155.9997033193397;5.945954751994214;0.2159933252602417;0.0;0.21729884179959352;0.0;0.06557416354811885;0.032838514744;2.47399343003
2;34137.213942564886;180.83186145283344;46.900504262212465;46.7375385988404;1743.9999999984204;162.64459573189768;162.69389835147163;5.107596114589199;0.2732882072997434;0.0;0.2740508071734306;0.0;0.0728816743211566;0.0291396893816;2.44801411952
3;44311.492802390814;263.8100687051684;86.39426511296783;89.02246341188126;1.0000007072013772;124.64007207603784;124.74340320732156;0.00038375171935910916;0.3067381459527653;0.0;0.3067381459566061;0.0;5.870376707193913e-07;0.095;2.38
4;44547.01706534669;272.314721962797;93.96199315323116;96.58501961772474;1.0000000570653365;124.63920896861809;124.74340282677228;3.1215539177018407e-05;0.3164381888836342;0.0;0.3164381888836588;0.0;5.960464477539063e-08;0.1;2.38
5;44041.34983235826;263.4328313984057;87.09184016225046;89.72579798528471;1.0000000985674002;124.6409472659882;124.74340285105649;5.7093160808928555e-05;0.3065484064280163;0.0;0.3065484064281014;0.0;9.424321830774485e-08;0.0975;2.375
6;44149.792358385;267.56758884449147;90.79348117993834;93.42678532726772;1.0000000276704668;124.64056213118143;124.74340280956469;1.7892516173642844e-05;0.311374046116182;0.0;0.3113740461161902;0.0;5.1619136559035694e-08;0.1;2.375
7;44428.84582377456;268.0609246136858;90.17673438332169;92.80390723489359;1.0000002006054374;124.63965456391676;124.743402910793;0.00010936943959679756;0.31168398293737065;0.0;0.3116839829376777;0.0;1.737759081973225e-07;0.0975;2.38
8;43567.56705085671;254.90650679596618;80.4625062977648;83.09460450884653;1.000000181295044;124.6424662452778;124.74340289948195;0.00010349014256477764;0.2963028522284273;0.0;0.2963028522287165;0.0;1.5769906706002893e-07;0.095;2.37
9;43933.72814273398;259.3019842995731;83.39374408663228;86.02543764493427;1.000000352069068;124.6413045836733;124.74340299944215;0.00019301011109426145;0.3015401827725454;0.0;0.3015401827735338;0.0;2.9652936372358196e-07;0.095;2.375
