;E_expect (kJ/mol);E_vac_expect (kJ/mol);Hvap_bootstrap (kJ/mol);Hvap_expect (kJ/mol);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dE_expect (kJ/mol);dE_vac_expect (kJ/mol);dHvap_bootstrap (kJ/mol);dHvap_expect (kJ/mol);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values;rmin_half values
0;12047.257261498431;79.5114856585097;34.0236284092878;33.78231659455903;2749.4616659615217;109.92710063108368;109.9506728410847;4.232007727035568;0.11039506972394378;0.0;0.1116854048400043;0.0;0.02098969684692645;0.120383091103;1.83324791999
1;11995.914885985627;78.16760714880417;32.89387765448622;32.64373446925026;4526.120804393959;110.6372198346597;110.67461001376905;3.2748686550729937;0.11035235184357696;0.0;0.11112712448223687;0.0;0.017017880634789342;0.123476918293;1.81040455874
2;12061.303937957478;79.08388864327638;33.55020771784965;33.29849636579763;3968.3229609016707;110.27128801451605;110.31213513683753;3.5251031936591333;0.11028681082514068;0.0;0.11118454157687946;0.0;0.017891329122202208;0.120806343095;1.82651886871
3;11873.074593586021;77.5087176939705;32.729212107552144;32.476216066930085;3525.880402530853;110.54986077675078;110.57675936954784;3.7734197876046007;0.1106340106156424;0.0;0.11165887093770133;0.0;0.01951371538202138;0.12689920064;1.79748919739
4;11857.791337876035;77.49381546420578;32.77547944935949;32.522452788734945;3486.355186210606;110.49215762102449;110.51805907615149;3.785995538293721;0.11063914447197976;0.0;0.11167076828263213;0.0;0.01951783561798507;0.12717137523;1.79711005539
5;13268.826122865095;85.30999699238208;35.30683014251246;34.69447596550789;3.769177827585184;110.51120916867457;110.70827142402136;104.83066030081702;0.11852313308041948;0.0;0.43575131972961656;0.0;0.4585792959692205;0.104;1.917
6;13260.229934854919;85.02588869703233;34.99708298494287;34.444739726871205;3.5574527468585475;110.67892822365502;110.83396773697751;88.57013559998026;0.11780592948409435;0.0;0.3733536412199434;0.0;0.4042947243641887;0.104;1.914
7;13400.254773835652;84.87506954076062;34.10195590176418;33.73378027755845;2.339485112586748;111.23511571233635;111.23928573830707;38.43463924547641;0.11730887834414405;0.0;0.1933828255856238;0.0;0.19558903214204135;0.1022;1.914
8;13059.293447735836;85.1762322739157;36.106475708545545;35.39889625429453;5.164167447679153;109.96227837398618;110.17058096870072;125.67775865513016;0.11831759518727533;0.0;0.5164469380610857;0.0;0.4614898783287378;0.1058;1.914
9;13425.748518526432;85.15541675910931;34.31621378425432;33.91215835985353;2.320055219459753;111.13945144178408;111.18143712921152;48.344480483807004;0.11799387442668015;0.0;0.22653382901073235;0.0;0.24091317059898795;0.1022;1.917
10;13059.40726138226;85.46408589415822;36.40366593028842;35.686309475978824;4.701869229496478;109.8292903662188;110.02349158764312;129.8071301718287;0.11906752264815113;0.0;0.5327056725765948;0.0;0.4372805600757067;0.1058;1.917
11;13449.653811003504;85.44020323218395;34.549976604434626;34.10133044520565;2.355712857448361;111.03123821114752;111.11428677506218;60.51715101045916;0.11872058187572525;0.0;0.2696141437198821;0.0;0.29205923304263004;0.1022;1.92
12;13274.967914246177;85.59860167151521;35.622626474224354;34.958527368485115;3.9889827226942978;110.34319317163435;110.57075292462878;119.90432770147076;0.11928342596814663;0.0;0.4942279869655548;0.0;0.5014105428609786;0.104;1.92
13;13062.715360112046;85.7564928005562;36.678174273141614;35.965497443931845;4.171704172169563;109.72006321098398;109.8902591701107;130.47942633842794;0.11986195328891315;0.0;0.5355044169856514;0.0;0.3964385370175981;0.1058;1.92
14;12047.257260988279;79.5114856585097;33.839666429984355;33.78231659659897;2749.461669931703;109.95671621304577;109.95067284756658;4.232007719367953;0.11039506972394923;0.0;0.111685404835361;0.0;0.020989696764535982;0.120383091103;1.83324791999
15;11995.91488709426;78.16760714880417;32.7272576942909;32.64373446481584;4526.120790007667;110.67157350907968;110.67461001273236;3.2748686223439702;0.11035235184356933;0.0;0.11112712446679712;0.0;0.017017880591111142;0.123476918293;1.81040455874
16;12061.30393808686;79.08388864327652;33.36400803789639;33.298496365281004;3968.322951504535;110.31692204562721;110.31213512936007;3.525103216704001;0.11028681082514416;0.0;0.11118454158857308;0.0;0.017891329267434974;0.120806343095;1.82651886871
17;11873.074593521582;77.5087176939705;32.568687526232736;32.4762160671873;3525.8803784116;110.56463960139428;110.57675937484646;3.773419760578728;0.11063401061564357;0.0;0.11165887092308943;0.0;0.019513715292600483;0.12689920064;1.79748919739
18;11857.791337365063;77.49381546420571;32.61517365382357;32.52245279077895;3486.355201446955;110.50565266073593;110.51805907438288;3.785995556487382;0.11063914447197984;0.0;0.11167076829250136;0.0;0.01951783570216786;0.12717137523;1.79711005539
19;12630.13337209788;85.02471087626444;36.44182825885572;36.96410310127708;3.245167608229719;109.24273756531576;109.29986728541364;104.91609704401709;0.11832075317521193;0.0;0.4360252279213237;0.0;0.06909377238999073;0.111;1.908
20;12590.039975941521;84.36726305682545;36.07803385638234;36.46702256380062;4.155664513468812;109.25454422491184;109.3622698887848;102.11433655390258;0.11672396389465407;0.0;0.4248080596087862;0.0;0.09063738441355797;0.111;1.901
21;12560.748951978288;85.15038030054049;36.792979168047225;37.367316862631675;3.155161278646508;109.22081860968694;109.2339603531713;103.31090711353971;0.11876646490781452;0.0;0.42997182433562975;0.0;0.08735996445586525;0.1126;1.908
22;12607.667941069463;84.69292861368675;36.26166558247984;36.7221801844468;3.6275536436943354;109.24643041631;109.32341546630288;103.85407713250484;0.1174941106708881;0.0;0.4317123758863352;0.0;0.07564589303042271;0.111;1.9045
23;12533.600829904353;84.81494837863893;36.61266104561193;37.14047743653094;3.4540956976301938;109.2193825194733;109.23388604521564;102.41623295770776;0.11790821561439575;0.0;0.42629532457968;0.0;0.0869735120005378;0.1126;1.9045
24;12718.505114757185;84.89871068859559;36.087226270130174;36.48460116469849;3.678418102734789;109.2701401534463;109.44618681540592;107.76173137516142;0.11788547305466485;0.0;0.44687631051464893;0.0;0.1245730811715989;0.1094;1.908
25;12699.888968096484;84.24852282150594;35.716589819735155;35.90885981794135;5.288124980120516;109.3106555247411;109.62506117468293;104.93241039940465;0.116349588589388;0.0;0.43555734326183215;0.0;0.2143559399114276;0.1094;1.901
26;12705.888905844722;84.57059084557687;35.9050555921374;36.2069385443392;4.329888748451856;109.28480603228334;109.52156295828459;106.85283890086784;0.11709002321506147;0.0;0.4431597237094687;0.0;0.1665462815314876;0.1094;1.9045
27;12509.783893823309;84.48569771887935;36.429856163834685;36.906493880434624;3.831219602758845;109.21964496724196;109.24022922260885;100.87614198745315;0.11710797440579868;0.0;0.4201549881893189;0.0;0.08550035848040856;0.1126;1.901
28;12047.25726123;79.5114856585097;33.632897054284626;33.782316595631706;2749.461682032141;109.94474454642271;109.95067285145619;4.232007721212454;0.11039506972394972;0.0;0.11168540483647976;0.0;0.020989696603234614;0.120383091103;1.83324791999
29;11995.914888354597;78.16760714880417;32.4435248744877;32.643734459773945;4526.120802189856;110.6722784672527;110.67461001812546;3.274868679662378;0.11035235184357048;0.0;0.11112712449382467;0.0;0.017017880667117832;0.123476918293;1.81040455874
30;12061.30393847814;79.08388864327638;33.12015724582893;33.29849636371564;3968.322956442225;110.31407521170419;110.31213513038807;3.5251031846841623;0.11028681082514276;0.0;0.1111845415723287;0.0;0.01789132933460211;0.120806343095;1.82651886871
31;11873.074592344105;77.5087176939705;32.271618602454176;32.476216071898044;3525.8803965286047;110.59513576562416;110.57675936673132;3.7734197657440185;0.11063401061563877;0.0;0.11165887092587752;0.0;0.019513715524754872;0.12689920064;1.79748919739
32;11857.791336555214;77.49381546420578;32.31749844814925;32.522452794018776;3486.3552023015354;110.53752953140055;110.51805907070951;3.785995533783522;0.110639144471976;0.0;0.11167076828018184;0.0;0.019517835438386838;0.12717137523;1.79711005539
33;13093.789793199558;82.66287645302798;32.591081636439;32.747411447402484;8.231112067262748;111.5501229495873;111.59240423044474;26.740175839641854;0.11304966164613617;0.0;0.15563038957667713;0.0;0.09827597816437286;0.104;1.887
34;13117.747613621836;82.95016704423708;32.753957143332784;32.93888085299178;6.235774313017715;111.49939040474626;111.49244314797927;23.91049018328447;0.11351108114853478;0.0;0.14843230874812455;0.0;0.09069557399370508;0.104;1.8905
35;13221.91953501603;83.1158147843091;32.55359290476718;32.68782839583855;5.623735896759214;111.55758545426531;111.61632085568421;26.525733190679702;0.11370233823986238;0.0;0.15551866179358154;0.0;0.10097276956584383;0.1022;1.894
36;13004.34755113277;82.78197355877387;32.979446739060286;33.224305352655236;7.7013634719193345;111.40113919710787;111.31684740145245;25.908845245418505;0.11331986922338465;0.0;0.15356329339171554;0.0;0.1108240567153944;0.1058;1.887
37;13193.774894073966;82.82689954386248;32.40557173218898;32.511482318602354;7.4650607182748425;111.60849178480578;111.70939568583694;31.34633508454594;0.11322578143890186;0.0;0.16894247921204358;0.0;0.11207799953710457;0.1022;1.8905
