;E_expect (kJ/mol);E_vac_expect (kJ/mol);Hvap_bootstrap (kJ/mol);Hvap_expect (kJ/mol);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dE_expect (kJ/mol);dE_vac_expect (kJ/mol);dHvap_bootstrap (kJ/mol);dHvap_expect (kJ/mol);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values;rmin_half values
0;12047.960987123257;79.62808603573781;33.809468713233635;33.89610224889111;2631.204072526636;109.91002768157051;109.94889459076192;4.339626704131728;0.14404398042261546;0.0;0.145086133243674;0.0;0.021489684695279704;0.120383091103;1.83324791999
1;11993.583570531333;78.29415009038433;32.66577006528627;32.779605153969385;2010.7746014677027;110.65413726694108;110.65004247149912;4.918309785013452;0.144795538117096;0.0;0.14612591900023592;0.0;0.02578511537543058;0.123476918293;1.81040455874
2;12062.307704140869;79.20359779405227;33.32001945450349;33.41419082475469;3402.2676538717797;110.2736071842095;110.30844291180469;3.8302516782544345;0.14414941971012524;0.0;0.14496133433885175;0.0;0.0193871901801689;0.120806343095;1.82651886871
3;12866.665523122425;86.77081896693899;37.787725020340815;37.76408073331884;2.2836086797559743;109.31651688281836;109.31822901440431;105.02942616478649;0.15794311938457145;0.0;0.4488261520371348;0.0;0.04795889073318047;0.1094;1.926
4;12802.990022794058;86.91632784520901;38.182621640770336;38.164294505338546;2.2216810759511647;109.30527203000109;109.2895910319564;101.86988940268849;0.15871225421811874;0.0;0.4372975755100607;0.0;0.06048911265215748;0.111;1.926
5;12736.259503760406;86.29672578231572;37.84077795257896;37.81161526071261;2.4660395943752818;109.29521944030549;109.2822431829777;104.3148358761116;0.15631621079590796;0.0;0.4455784078495188;0.0;0.06444000176144545;0.111;1.92
6;12744.117070838523;87.06145886348438;38.568648097419356;38.54491894859964;2.2039249630616746;109.29843883233127;109.27357951142014;99.24944833379602;0.15949949722194834;0.0;0.4278403178518696;0.0;0.07175923616053005;0.1126;1.926
7;12834.314916383457;86.46205158252262;37.61744950496003;37.58471532304376;2.412100232049716;109.31510847335942;109.3227123271385;106.22702774060772;0.15675597300842645;0.0;0.452901024354396;0.0;0.05027245598769041;0.1094;1.923
8;12675.433947402416;86.43499752015289;38.224387919418156;38.19319173627298;2.4512318902742942;109.28417387422961;109.25736901244377;102.09686541962336;0.1570122537052777;0.0;0.4375307609002458;0.0;0.07929115675627;0.1126;1.92
9;12768.600177310493;86.6040930383769;38.01274170374845;37.98961951355066;2.3366195824592726;109.3001480508698;109.28530281445371;103.25680471203314;0.15747918748167922;0.0;0.4420307433193284;0.0;0.06271703406965773;0.111;1.923
10;12804.58716541125;86.15810021282564;37.44420272456696;37.39967409077187;2.5643699041727683;109.31513679809864;109.33129117598409;107.12984374586084;0.15563698757440714;0.0;0.45590758566586403;0.0;0.054446403478390686;0.1094;1.92
11;12708.8595077686;86.74576877407337;38.39743070438552;38.37025993696267;2.3214297122122365;109.29144346968677;109.26540630019208;100.84753194938946;0.15821984449033005;0.0;0.4333094903801709;0.0;0.07569505115915587;0.1126;1.923
12;12047.96098715612;79.62808603573781;33.65597669659153;33.896102248759554;2631.2040657690113;109.92613188857383;109.94889459187826;4.3396267222082;0.14404398042261565;0.0;0.14508613325232506;0.0;0.02148968487285009;0.120383091103;1.83324791999
13;11993.583570281424;78.29415009038433;32.567117195742895;32.779605154968905;2010.77460439405;110.65365617624607;110.65004247258774;4.91830980274238;0.1447955381170959;0.0;0.14612591900978333;0.0;0.025785115483114573;0.123476918293;1.81040455874
14;12062.307704322715;79.20359779405227;33.181033135645215;33.4141908240275;3402.2676523109812;110.30004410738589;110.3084429097836;3.8302516681249434;0.14414941971012496;0.0;0.14496133433456912;0.0;0.01938718996002374;0.120806343095;1.82651886871
15;13049.270321474894;83.76763402635676;33.502557827636885;34.03031093229473;5.285662883279813;111.15092640236628;110.95849665800456;54.23349953127625;0.14832200195708622;0.0;0.26279226877844203;0.0;0.2661543679527831;0.1058;1.8975
16;12706.160167154323;83.71751855660763;34.463581728503826;35.35274049915464;8.65335073256163;110.12235491909009;109.92464193744075;94.55540243990153;0.14844377059289734;0.0;0.4063091679998025;0.0;0.29432885214957016;0.1094;1.894
17;12873.80192780657;84.20813397244743;34.25679555606539;35.17276303636058;7.339446116937175;110.54473332086805;110.18044416407685;103.66070195374249;0.1494989673613481;0.0;0.4407704627706634;0.0;0.3880724874833209;0.1076;1.901
18;13036.859444788128;83.4665624972885;33.32045309911062;33.77887007768839;5.6131578945530665;111.22421105085868;111.08554898636193;40.74444021329371;0.14766927872873964;0.0;0.21992718528077748;0.0;0.2011009282019056;0.1058;1.894
19;12880.621080072138;83.89724063987028;34.03940475530931;34.83457364304424;8.133145962304072;110.67769982262553;110.37303502460918;90.828313219308;0.14874054257382546;0.0;0.3925815458680574;0.0;0.3750322137338327;0.1076;1.8975
20;12885.634654118447;83.5922100901506;33.82831741743081;34.50946956176002;8.565315032140536;110.80189824019241;110.5634843245994;75.0245793888151;0.14804814333294472;0.0;0.3346300256831821;0.0;0.3350131400505655;0.1076;1.894
21;12699.897752164161;84.34140303309209;34.951292173490955;36.001704890544985;5.288526679425223;109.76629921255758;109.62508802449177;104.9308482763328;0.1499768085932517;0.0;0.4457137762111441;0.0;0.21435782445910992;0.1094;1.901
22;12700.35432169619;84.02649295550836;34.70705848649199;35.68495493079017;6.695086494085723;109.94205400392364;109.75978151919122;101.18076097643556;0.1491763426259238;0.0;0.4313401490234855;0.0;0.260459328255247;0.1094;1.8975
23;13057.765063996963;84.07449514892042;33.68726837451324;34.30320744392246;5.247242103610534;111.08094566534928;110.81632683274523;70.77895872707558;0.14903892449286507;0.0;0.3199487117226841;0.0;0.3347633171988237;0.1058;1.901
24;12047.960985805305;79.62808603573781;33.88325744534917;33.89610225416317;2631.204066113891;109.92563604083335;109.94889458825152;4.339626697757153;0.14404398042261676;0.0;0.1450861332406246;0.0;0.02148968467658137;0.120383091103;1.83324791999
25;11993.583569592407;78.29415009038433;32.8104610439081;32.77960515772509;2010.7746062210128;110.62928375358031;110.65004247136429;4.918309780077286;0.1447955381170971;0.0;0.14612591899757876;0.0;0.025785115308118358;0.123476918293;1.81040455874
26;12062.307706235972;79.20359779405227;33.41409735877138;33.414190816374024;3402.267657065403;110.2719162861656;110.30844291439112;3.830251699425952;0.14414941971012532;0.0;0.1449613343478023;0.0;0.01938719018500019;0.120806343095;1.82651886871
27;13373.665788299224;84.69145387910599;33.80512823639687;33.656515341289065;2.421806624376836;110.94956337050638;111.29093683187165;30.744896186862245;0.1503451588279576;0.0;0.19423605560191734;0.0;0.15596254912911411;0.1022;1.911
28;13234.301055802736;84.56357677209232;34.322216653255076;34.08612215362467;3.3367005350451713;110.56040573347107;111.04351739306648;58.16584340812785;0.15014618024932047;0.0;0.2769045353655836;0.0;0.28567516547851085;0.104;1.908
29;13248.726172454788;84.83787633369549;34.60897123934189;34.30273112652947;3.4042354119434344;110.3783955015043;110.9457163054818;72.6210970425582;0.15089495321660673;0.0;0.3273384607561501;0.0;0.3448799517276702;0.104;1.911
30;13346.445359362117;84.42082794406977;33.57823788107693;33.49476619841903;2.5816436593128502;111.09885945267855;111.33968517107748;25.191329573207604;0.14963596780415708;0.0;0.1804011429656861;0.0;0.12206108608141855;0.1022;1.908
31;13059.301360121486;85.26631453033724;35.73838132975784;35.488946858065674;5.164410496874772;109.68897583772663;110.17061173878858;125.67504626924251;0.15230889990465638;0.0;0.5252670551624706;0.0;0.4614825195874889;0.1058;1.914
32;13060.839794964117;84.98386985590005;35.4739783537606;35.200332773947025;5.444121368911191;109.80857419557141;110.32576333250046;117.5506412267056;0.15146481592701214;0.0;0.4939959966516892;0.0;0.4643065640639178;0.1058;1.911
33;13260.236132386206;85.11660553538874;34.89876635861576;34.53543177202855;3.5576639471800675;110.203535448734;110.83399817179155;88.56454382283087;0.15169725102421908;0.0;0.3853711359147529;0.0;0.4042689429456599;0.104;1.914
34;13062.31682499471;84.70591144992548;35.19271823840153;34.916450472331505;5.497926427786131;109.95350187193479;110.48195658546796;105.71763454102066;0.1506758992381999;0.0;0.4489128207970135;0.0;0.44471986513052375;0.1058;1.908
