;E_expect (kJ/mol);E_vac_expect (kJ/mol);Hvap_bootstrap (kJ/mol);Hvap_expect (kJ/mol);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dE_expect (kJ/mol);dE_vac_expect (kJ/mol);dHvap_bootstrap (kJ/mol);dHvap_expect (kJ/mol);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values;rmin_half values
0;12047.333840693125;79.62468942619684;33.814344855288546;33.89521648812301;1670.4985641712115;109.92418574542648;109.9264881320963;5.530518113763037;0.17897547305132352;0.0;0.18033747822095764;0.0;0.027011311381335588;0.120383091103;1.83324791999
1;11992.711766896084;78.27553450403252;32.67149003081876;32.764479300823844;1506.9208648316876;110.63762503651878;110.6251051914757;5.611113563350919;0.1796513479614037;0.0;0.18104795044444685;0.0;0.02978930949975157;0.123476918293;1.81040455874
2;12636.393414579896;87.41395464008802;39.26937250699887;39.32831247572231;2.247150263787629;109.2516453160383;109.24263412003307;95.38045895542021;0.2018127761851153;0.0;0.43161013418441024;0.0;0.09413524914099204;0.1157;1.926
3;12709.093572383;86.8123963025067;38.382656883604824;38.4359514315241;2.3270442284585;109.27618022346226;109.26318267919365;100.91381965794169;0.1980607962163394;0.0;0.44962836101092174;0.0;0.0768384612098513;0.1126;1.923
4;12675.484476873044;86.49891174089254;38.207292039916624;38.25690412519077;2.455396034457866;109.2699278755688;109.25453672872813;102.1068770930608;0.19646989627416409;0.0;0.453225605856041;0.0;0.08070122312284547;0.1126;1.92
5;12600.15814460871;87.0888711520274;39.09295587302454;39.148171423503776;2.388111788188359;109.24019489771237;109.22920879983221;97.12761997419076;0.20000804269205413;0.0;0.436970948958834;0.0;0.1004178130339187;0.1157;1.923
6;12620.04040458096;86.63403009212395;38.56368815665449;38.61380053844443;2.4846561197649204;109.25118204868404;109.23698371973812;100.31125305044348;0.1973760808706088;0.0;0.4471631438346696;0.0;0.0925954796142862;0.11415;1.92
7;12654.1198608803;86.95080895723737;38.740251073332246;38.79426045193068;2.3454178068968594;109.2601397698561;109.24813649024364;98.98678273356796;0.19902399157090506;0.0;0.4431531110059878;0.0;0.0876605422631537;0.11415;1.923
8;12565.563896578453;86.76880928149777;38.91522434455426;38.966487967709924;2.5437103777440333;109.22821187982555;109.21512350523028;98.44095046250004;0.19830235672706795;0.0;0.4408783919025176;0.0;0.10648716548274538;0.1157;1.92
9;12689.910545747023;87.27256087269969;38.915176497442175;38.97284853801428;2.2186848608852117;109.26891119759813;109.25892769621308;97.27767376062216;0.2007683982517808;0.0;0.4378528095176139;0.0;0.08250186182113818;0.11415;1.926
10;12744.476767347673;87.13080514241565;38.55603486916973;38.61282662143792;2.2102606297605347;109.28266043448092;109.27179789148113;99.36616843595313;0.19974568225275496;0.0;0.4448331198402524;0.0;0.07270216801620329;0.1126;1.926
11;12047.333841478858;79.62468942619684;34.09654189373085;33.895216484980004;1670.4985617307339;110.00964575905022;109.92648813279823;5.530518139084392;0.17897547305132544;0.0;0.18033747823338428;0.0;0.02701131124023184;0.120383091103;1.83324791999
12;11992.711765933967;78.27553450403252;32.958080356330406;32.7644793046724;1506.9208621447422;110.69016070714022;110.62510519065908;5.611113552014544;0.1796513479614068;0.0;0.1810479504388285;0.0;0.029789309625145814;0.123476918293;1.81040455874
13;12613.589548716316;85.88649615805312;38.62660796786349;37.89206992243749;2.754983034147112;109.32540398235923;109.2380272313142;103.37228381953793;0.19355581817982329;0.0;0.4565491428332504;0.0;0.08712936532934995;0.1126;1.914
14;12623.515663128723;85.16643733637622;37.923517851639716;37.1323036801319;3.1573524734835683;109.32643679806722;109.26736365772337;104.12150648562763;0.19027140527609912;0.0;0.4578906174231655;0.0;0.0721078473776333;0.111;1.908
15;12585.343253540059;85.5874562368557;38.45165167789382;37.70601591139907;2.9324098063891917;109.32110462572649;109.23080491467958;103.41732126507463;0.1922259184226404;0.0;0.4561502835659381;0.0;0.08941618327282767;0.1126;1.911
16;12558.96695110804;85.29312283987555;38.272957554379396;37.51718832111509;3.134751749122563;109.316856422559;109.22489433956808;103.04991970636769;0.19097654852126425;0.0;0.4542913353710002;0.0;0.09087935270877252;0.1126;1.908
17;12648.080174787554;85.45755643192624;38.10243652284871;37.325164995620646;2.9372398322529567;109.32887799399354;109.26472431062662;104.7355447436517;0.19147176370844085;0.0;0.4606234749496134;0.0;0.07211071500672825;0.111;1.911
18;12674.911449139918;85.75333316949248;38.27676272333198;37.51361656829204;2.75259811071672;109.33187145559685;109.26539248300068;104.91567982578314;0.19275054708800773;0.0;0.4618111859059434;0.0;0.07155318814279843;0.111;1.914
19;12742.005786158321;85.61982319669707;37.919767535410756;37.11172488514862;2.836436722005504;109.34016087577066;109.30858331837587;106.33944366667923;0.19196547096579306;0.0;0.4666690246270826;0.0;0.05760674984032733;0.1094;1.914
20;12717.99677883094;85.32732119960113;37.74395371692572;36.915257656332045;3.0640872969322603;109.33982020013434;109.32106876565754;105.80644350380243;0.19073713183641725;0.0;0.4642205394966386;0.0;0.06150903387884973;0.1094;1.911
