;E_expect (kJ/mol);E_vac_expect (kJ/mol);Hvap_bootstrap (kJ/mol);Hvap_expect (kJ/mol);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dE_expect (kJ/mol);dE_vac_expect (kJ/mol);dHvap_bootstrap (kJ/mol);dHvap_expect (kJ/mol);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values;rmin_half values
0;68202.43237458411;616.9152518396997;348.7347997627224;346.56382961683494;1994.9999999961608;125.32128516170286;125.32400523167576;4.7792936308413445;1.2832073319067498;0.0;1.2833497274796477;0.0;0.010332953775669021;0.15;2.5
1;50608.126601279786;578.8761305788479;379.5805426319966;378.90199009004664;1.0000000005966283;124.74340279350795;124.74340279350751;9.5367431640625e-07;1.136155236885811;0.0;1.136155236885811;0.0;0.0;0.145;2.41
2;50288.21740023826;581.9627395471613;383.94035419776395;383.268235862526;1.0000000004147296;124.7434027934614;124.74340279346045;0.0;1.1626305565032486;0.0;1.1626305565032486;0.0;5.1619136559035694e-08;0.15;2.405
3;50996.85884056481;594.4356753532186;393.6215620432417;392.9066059072772;1.0000000010040822;124.7434027936014;124.74340279360588;1.6518123698891422e-06;1.3125550605094256;0.0;1.3125550605094256;0.0;4.214684851089404e-08;0.15;2.41
4;49257.19095333253;554.9084253595863;360.911776461212;360.33802746257413;1.0000000001091394;124.7434027933902;124.74340279339027;8.259061849445711e-07;0.8994883724109811;0.0;0.8994883724109811;0.0;5.1619136559035694e-08;0.145;2.4
5;49428.504409622874;562.3320595086923;367.6760521065706;367.0764077865187;1.0000000001382432;124.74340279339636;124.74340279339631;0.0;0.9634237484761344;0.0;;0.0;;0.1475;2.4
6;49600.253790734416;569.7439015446147;374.4248947001127;373.80125229799484;1.000000000174623;124.74340279340522;124.74340279340508;1.7841612752790173e-06;1.0319727446341171;0.0;1.0319727446341171;0.0;5.960464477539063e-08;0.15;2.4
7;50802.27664603011;586.6642324029813;386.6130719986439;385.9134917351785;1.0000000007712515;124.74340279354472;124.74340279355069;1.6518123698891422e-06;1.2207956125389179;0.0;1.2207956125389179;0.0;5.960464477539063e-08;0.1475;2.41
8;50105.218506508914;574.3712769339128;377.05969789266686;376.40876882419485;1.000000000320142;124.74340279343599;124.74340279344284;1.1680077279964342e-06;1.08358804065017;0.0;;0.0;;0.1475;2.405
9;49922.65369123057;566.765973123282;370.16007726789877;369.53372427467764;1.0000000002546583;124.743402793422;124.74340279342165;9.5367431640625e-07;1.0102248747121858;0.0;1.0102248747121858;0.0;4.214684851089404e-08;0.145;2.405
10;68202.43237458792;616.9152518396997;349.938828469534;346.5638296168196;1994.9999999961608;125.31407842007084;125.32400523167576;4.7792936308875404;1.2832073319054218;0.0;1.2833497274783223;0.0;0.01033295377596685;0.15;2.5
11;47095.655012583215;489.36601068984464;297.25790803169787;303.44175655582967;1.000000000007276;124.74340279335966;124.7434027933646;1.8250120749944284e-08;0.4753881601165617;0.0;0.4753881601165617;0.0;0.0;0.13;2.39
12;47974.31653982197;514.2315628721004;318.18472575341787;324.79266262913035;1.000000000021828;124.7434027933605;124.74340279336779;2.356080457693621e-08;0.6100906754232691;0.0;0.6100906754232691;0.0;5.1619136559035694e-08;0.135;2.395
13;48576.50710615144;525.1077986979969;326.4648219056849;333.26013618970904;1.0000000000436555;124.74340279336313;124.74340279337656;1.032382731180714e-07;0.6819312819050758;0.0;0.6819312819050758;0.0;4.214684851089404e-08;0.135;2.4
14;47658.76753940663;499.6428704489635;305.1002059163366;311.4661662076548;1.000000000007276;124.74340279336108;124.74340279336708;1.0536712127723507e-08;0.5303816751019583;0.0;0.5303816751019583;0.0;0.0;0.13;2.395
15;48407.541380248666;517.6330675230798;319.78875826447376;326.46126791840305;1.0000000000363798;124.74340279336342;124.7434027933735;1.0536712127723507e-08;0.6355948873524682;0.0;0.6355948873524682;0.0;0.0;0.1325;2.4
16;47242.5557721327;496.48287979874436;303.6678462289181;309.97102262653146;1.000000000007276;124.7434027933595;124.74340279336631;1.0536712127723507e-08;0.5097222835369561;0.0;;0.0;;0.1325;2.39
17;47389.97151189944;503.59161601966906;310.06806396776983;316.4900958883892;1.000000000007276;124.74340279335944;124.74340279336859;0.0;0.5461317013347337;0.0;0.5461317013347337;0.0;5.1619136559035694e-08;0.135;2.39
18;47816.285541095516;506.94155925012865;311.64763909485714;318.13478300206435;1.0000000000145521;124.7434027933606;124.74340279336289;0.0;0.5690411390402009;0.0;0.5690411390402009;0.0;0.0;0.1325;2.395
19;48239.08660073387;510.1489853453394;313.1015795032089;319.6510048587218;1.0000000000291038;124.74340279336485;124.74340279336576;1.8250120749944284e-08;0.5920213214988138;0.0;0.5920213214988138;0.0;4.214684851089404e-08;0.13;2.4
20;68202.43237456308;616.9152518396997;347.37249835414787;346.5638296169191;1994.9999999961608;125.31639739175013;125.32400523167576;4.779293630743943;1.2832073319048332;0.0;1.2833497274777252;0.0;0.010332953775705206;0.15;2.5
21;53559.31883472892;629.8196153146388;408.94686088237097;418.0407058920404;1.0000000253858163;124.74340280954807;124.7434027995218;1.1601948795887413e-05;1.8604610822869507;0.0;1.8604610822869512;0.0;4.214684851089404e-08;0.145;2.43
22;54351.84042101122;643.1466993392189;418.6977923835363;428.1977035714902;1.0000000704676508;124.74340283747313;124.74340281045737;3.087313472030381e-05;2.1264541370385635;0.0;2.1264541370385666;0.0;2.9802322387695312e-08;0.145;2.435
23;53803.30347069424;638.3150650150956;416.171222456792;425.5602170486355;1.0000000348882172;124.74340281597118;124.743402801767;1.52587890625e-05;2.0256730657335167;0.0;2.025673065733518;0.0;2.9802322387695312e-08;0.1475;2.43
24;54609.19744418043;651.7934736348166;425.9579580123088;435.81504977441034;1.000000098363674;124.7434028560428;124.74340281702278;4.3242584414499796e-05;2.329844666723304;0.0;2.32984466672331;0.0;6.664001874625056e-08;0.1475;2.435
