;C_p_res_sim (J/mol/K);Vol_sim (mL/mol);dC_p_res_sim (J/mol/K);dVol_sim (mL/mol);eps_val;rmin_half_val
0;49.78607955463392;108.77951117706189;3.7268954236509777;0.05362056584582803;0.1094;1.8905
1;50.819551685379814;110.21197954083175;4.0329696835615225;0.05667223810279236;0.1022;1.908
2;52.21838369214883;105.57175092318111;4.151555186067069;0.04564120576812986;0.1157;1.9169999999999998
3;45.495648924199614;108.9375299142498;3.6410216579409216;0.05669181581716685;0.1076;1.8975
4;50.59667803685302;111.68744135931856;3.7761674674890156;0.06781637269377812;0.1022;1.887
5;43.55955934346789;107.56931502728713;2.9225478876188777;0.040007366476957476;0.11415;1.887
6;54.13261390735386;107.36636747773547;3.488731280581489;0.049532630992225046;0.111;1.908
7;47.070400041696196;106.62661995840804;3.91090597964131;0.04301463553695551;0.1157;1.894
8;52.44921985579505;106.78553036656893;3.764949654526714;0.049228041698523906;0.1126;1.908
9;42.68089779292052;107.16167739149887;2.302387086769665;0.03753730007718096;0.111;1.911
10;51.638126181001894;107.03775988063374;3.6860654572125697;0.0492545411638924;0.1126;1.9045
11;51.903463514182256;106.59778332276977;3.30481973006891;0.040834400066941584;0.11415;1.9045
12;48.282332813140165;106.34310427453474;3.5477128407246576;0.04578254595410162;0.1126;1.92
13;45.46273843107732;106.22899702567626;3.518198710605513;0.05183397993605046;0.1157;1.901
14;51.44288834757136;107.64795096454517;4.682068305794737;0.05579319515530021;0.111;1.901
15;46.10270924990176;106.36123757377355;3.4103241741332933;0.04331842503171804;0.11415;1.911
16;52.03888570292157;109.38896062311305;3.0693957551293813;0.046353093060407344;0.1058;1.8975
17;47.37237519933101;107.57092547745151;3.42116152347193;0.05009895610646461;0.1094;1.914
18;47.24592453453247;107.97702383092421;2.880653946843912;0.04672589422173158;0.1126;1.887
19;50.056151718505305;107.61047121891644;4.150419184692999;0.06711697804728825;0.111;1.9045
20;52.10243447228709;108.04394210412492;3.742158058332828;0.050754981732429746;0.1076;1.914
21;44.50836704990495;106.81274196711796;2.770501247707712;0.03992541433765229;0.111;1.92
22;49.47470756617865;108.90916458031015;3.431619326066648;0.05359076150316436;0.10400000000000001;1.923
23;48.47019041198229;106.41304544693674;3.1647166715881543;0.040422343347351994;0.1126;1.917
24;45.61619379675806;107.83293166000061;3.356444478567807;0.05381280330010158;0.1094;1.908
25;54.27024810978937;107.71021911115011;4.169486755395367;0.05404378585215045;0.1094;1.911
26;45.94586611358044;108.72174909827936;3.022364401198675;0.044059317797268495;0.1076;1.9045
27;47.963651415655576;106.10148580300832;4.213644393958976;0.0501281948324254;0.11415;1.92
28;48.144556522217556;106.50544246727169;3.140464422033302;0.04160660835829919;0.111;1.926
29;48.50794850029492;107.2565482966962;4.179007925254539;0.05321559094333548;0.11415;1.8905
30;43.783284292681536;107.0938008701779;3.0093448796813136;0.04339304348821716;0.111;1.9140000000000001
31;51.95408324344594;109.910310294368;3.2539137240714515;0.05166130664938306;0.1022;1.911
32;45.43562366235161;105.54557060205258;3.5094922546789875;0.0524467690013674;0.1157;1.917
33;54.23392410477453;109.40918771685143;4.500030167283088;0.061073735113639255;0.104;1.914
34;43.009588889791594;111.14595359465211;3.0802525107538288;0.0574871316077757;0.1022;1.894
35;43.78839475302514;108.29629102190033;2.6664169127985953;0.03985949150254538;0.1058;1.92
36;45.836841891722855;107.82282727424169;2.9571514620978525;0.04582590792253977;0.1076;1.917
37;49.01000353830948;109.3513995060593;3.0260555114734493;0.048504620685024404;0.1076;1.8905
38;53.285370654621374;106.07196345973755;4.244841066199532;0.04820411584511585;0.1126;1.926
39;50.164836631684935;111.3466565436213;2.6002271964114256;0.04513325227357511;0.1022;1.8905
40;48.67159877912397;107.03079535535208;3.1901080527013876;0.04395937326166755;0.11415;1.894
41;43.71325448799677;109.9042053461443;3.3609377478591256;0.04872677591926402;0.1022;1.914
42;46.122536780326236;108.39958292973672;3.3320647184742374;0.05507021670454501;0.111;1.8905
43;42.753589274043605;110.7683885285077;2.5480012474505274;0.052376617189205776;0.104;1.8905
44;51.21338432700084;106.87803736002779;4.843695455548392;0.06385938116020293;0.1094;1.926
45;44.571481031900476;107.38956070863705;2.892863700511893;0.04572764822917139;0.1126;1.8975
46;55.576150837906674;105.22160318866356;5.045593064572586;0.05996305051983376;0.1157;1.923
47;47.35052189553551;106.03974197111066;3.4556143201158793;0.04891915784300334;0.11415;1.917
48;49.499501923038466;107.73771293575977;3.618371746606428;0.04684129633591167;0.1076;1.92
49;45.17798060952913;110.82755074821576;3.7195609852140965;0.05607672842641662;0.1022;1.901
50;52.10917231776039;106.55703234704414;4.217826907932768;0.0523431338048817;0.111;1.923
51;52.29837399667472;106.09249626573038;4.672002249450258;0.059381223299741846;0.11415;1.914
52;51.20118309285528;109.51714012142524;3.721990533838196;0.055067794674894664;0.1022;1.923
53;45.900515503303154;106.855684195488;2.8464188428419934;0.03954498917192536;0.1126;1.911
54;49.245704918533725;105.7070994351137;3.353351938363561;0.0396185281988978;0.1157;1.914
55;50.02373682898816;109.52973552344395;3.0587858949023654;0.0461441873859892;0.1022;1.926
56;52.71728774128519;106.98954321476612;4.591014584362036;0.0566568307813515;0.11415;1.8975
57;51.21441912887264;109.04292782366853;3.017534552336366;0.04269274197971351;0.1058;1.908
58;48.358119871930704;105.83835432808932;3.878980121949295;0.05553613947871091;0.1157;1.911
59;46.79506520962739;109.76715778102084;2.505719882576197;0.04187013460833429;0.104;1.9045
60;48.82368399181085;107.06085109914122;3.517215763498939;0.046395479161018396;0.1094;1.923
61;51.66190181176098;107.55561671423926;3.8418636100377;0.05397256577522244;0.1126;1.894
62;46.380221394029206;107.80149805478602;3.727967274269491;0.06262201350985146;0.111;1.8975
63;50.18918029361801;109.60639219814806;3.710500170966391;0.054105882655229316;0.1022;1.92
64;48.94143635462127;108.62044517047691;3.3519698850121498;0.050915092199281906;0.1094;1.894
65;43.00957140670537;107.9692011886125;2.7439124664978234;0.0410883183286971;0.111;1.894
66;44.3753662122092;105.41375006945783;3.379843024401441;0.048492518383334474;0.1157;1.92
67;44.41350539113949;106.36605870320871;4.415230615935121;0.0566690089352698;0.1126;1.923
68;45.06176234403967;108.29793598799093;2.883323816730198;0.042333992340647796;0.1094;1.901
69;44.06054643618566;110.34468764639259;2.4553874451600755;0.04226943980092921;0.104;1.894
70;48.29898073817379;108.8394444442956;3.6189878721439412;0.04928170730000009;0.1058;1.911
71;51.61405215108931;110.18156241069624;3.691351926062162;0.058528596509416775;0.104;1.8975
72;51.956625694807855;106.8214498076941;4.630526074162967;0.06420780079380053;0.1157;1.8905
73;47.676174676979336;105.92702225602636;3.711126308409873;0.049724322578324695;0.1157;1.908
74;54.72943107200476;110.16511617018594;3.9947216708598297;0.05979730481937702;0.104;1.901
75;52.73618247178907;106.74292433168657;3.314959131724181;0.04024760543475532;0.11415;1.901
76;49.807211197944994;109.99438982480589;3.30653637377007;0.0582512366606331;0.1058;1.8905
77;48.81169441959989;109.55092233609693;3.3034836714148095;0.04649404705622172;0.1058;1.901
78;44.030303014074065;109.13052002161702;2.8732068327504576;0.0469057725852559;0.104;1.917
79;45.3440560779192;107.02139704864804;3.152469452932463;0.0429495718870585;0.111;1.914
80;47.23684919498888;105.80595412183109;3.354551722086303;0.041572148248587126;0.11415;1.923
81;46.40950361506462;109.72573973423162;3.0189110012534335;0.04801705840226874;0.1022;1.917
82;44.95064726791945;110.8779221766298;3.3804000331752673;0.05911349047434746;0.104;1.887
83;50.46610826815108;106.08284087552954;3.475218146522357;0.042658905199718496;0.1157;1.9045
84;46.78129883594638;107.82837716490097;3.9731444466203674;0.06137398328502373;0.1094;1.908
85;46.73452298142198;108.08804576467142;3.680289630765581;0.05675280274003392;0.1058;1.923
86;46.66182785975247;107.46213813857867;3.3315808599273304;0.04885863800033255;0.1094;1.917
87;47.04927707038428;107.76418852680186;2.742370357765482;0.04242843906244801;0.1126;1.8905
88;50.28622909287522;107.27794849105648;3.2918985663264952;0.04168288415071222;0.1094;1.92
89;48.932152539304106;110.82431534079745;3.0410864846007275;0.04753703706838735;0.1022;1.8975
90;50.53688156371608;109.00267318510247;3.138805092114992;0.04519705445624094;0.104;1.92
91;45.70907843411014;110.5653776854301;3.4044589576338518;0.059756422033363434;0.1022;1.9045
92;46.682772750437834;106.60872328300111;3.290729042883773;0.046204440199340384;0.1126;1.914
93;49.21945396705191;106.97630018429571;2.6664541325708577;0.035648857599482345;0.1157;1.887
94;46.72805340997243;107.959375112864;3.4962845427093265;0.05090699996078246;0.1058;1.926
95;49.70176629533289;107.20106994402197;3.0507948340072075;0.04238995091810393;0.1126;1.901
96;41.39722925120402;108.32743016202936;2.7533347949437452;0.047349814351141835;0.1076;1.911
97;50.202277229134054;108.45004374130015;4.549614057287882;0.05888586744967738;0.1094;1.8975
98;41.222568527234294;108.30943088320119;3.07314583378948;0.04681078922756564;0.111;1.887
99;45.85332821447125;105.3322037403786;3.0517756519487227;0.04339189005791213;0.1157;1.926
100;47.96720632484762;109.45306235932618;2.8317080915475423;0.051781919794807146;0.104;1.911
101;47.5831687590394;109.13861412875748;3.099740583310134;0.0490125907541448;0.1058;1.9045
102;47.96738308109759;106.62476243841894;2.730552320440217;0.03690382035904788;0.1157;1.8975
103;47.58312258732895;109.60138864361583;2.775941679851392;0.04479841508600973;0.104;1.908
104;50.456679453754276;108.73415178652246;3.232342300473029;0.04618348031148031;0.1058;1.914
105;50.84379928182627;108.73890908394715;3.7930973604195213;0.055141647839803604;0.104;1.923
106;44.004783683336356;110.32955080579431;2.5800347930192387;0.04511785760818917;0.1058;1.887
107;49.41308090425214;109.12945839858868;4.280621439293155;0.059793759187645235;0.1094;1.887
108;44.24929082094162;109.44143803636636;2.8022711489516667;0.04636147070442452;0.1076;1.887
109;54.49938970061062;106.92664599102588;5.198365487286091;0.07158064837217308;0.111;1.917
110;45.85829825704952;106.41494304175104;2.9513948949621103;0.0389863197240396;0.11415;1.908
111;44.80225406135485;107.5207382117605;3.0781191719151475;0.04814373374481309;0.1076;1.926
