;Bulk sample number;E_bulk_sim (kJ/mol);E_vac_sim (kJ/mol);Hvap_sim (kJ/mol);Vacuum sample number;Vol_sim (mL/mol);[#6X4:1]_eps_val;[#6X4:1]_rmin_half_val;[1:1]-[#6X4]_eps_val;[1:1]-[#6X4]_rmin_half_val;dE_bulk_sim (kJ/mol);dE_vac_sim (kJ/mol);dHvap_sim (kJ/mol);dVol_sim (mL/mol)
0;1519;12224.744951470371;84.72052748734487;38.28168178358083;2275;107.2366126985341;0.11213499999999997;1.9080000000000001;0.016092499999999996;1.479565;5.803714484848458;0.25160953607217945;0.2526782307153044;0.02387136650528736
1;1136;12741.414470231352;85.10900707614749;36.60324325220818;2739;109.61329716738197;0.1094;1.89846;0.015307499999999996;1.4869999999999999;6.368171820311583;0.23202208488186063;0.23341616413551028;0.03048792081417499
2;2021;12744.392798742174;84.88951818833682;36.37178501313635;2882;110.16812110666947;0.1094;1.89846;0.016092499999999996;1.494435;4.569961644314447;0.22536792025510827;0.22610805442602688;0.022841500744614968
3;1266;12531.530667931776;84.97540127089448;37.30921939771275;2909;109.15050945168646;0.11213499999999997;1.89846;0.016092499999999996;1.494435;6.000142387357673;0.21709346094035367;0.21841611234006433;0.02798614310563623
4;1618;12938.911363241059;84.61726054423055;35.321414452418814;2956;110.55087967815294;0.10666500000000001;1.89846;0.015307499999999996;1.4869999999999999;5.703300838731038;0.2231746369359182;0.22433760457371232;0.026343488803162275
5;1858;12425.810221188001;85.14749967930165;37.90426255922841;2591;108.5270823884433;0.1094;1.89846;0.016092499999999996;1.479565;4.932092638636521;0.24853390867996464;0.24931568818284908;0.02344913939023455
6;1376;12593.771049652192;84.86674665166832;36.951641112236445;3198;108.7756517139887;0.1094;1.9080000000000001;0.016092499999999996;1.4869999999999999;5.978662917285721;0.20903820455701752;0.21040171466865804;0.02550047249989975
7;1661;12951.220903829353;85.28888517231162;35.943750573281555;3035;111.04934368965223;0.10666500000000001;1.89846;0.016092499999999996;1.494435;5.591280569602275;0.2104596422413513;0.21164465434703922;0.025803292204152988
8;1877;12657.703255123663;84.86347197289028;36.692668986066224;3150;108.4650131624788;0.10666500000000001;1.91754;0.016092499999999996;1.479565;4.837065815564667;0.21415283104027466;0.21502509234815026;0.02322083874008328
9;1600;12813.36371023458;84.78904102263766;35.995567812739;3180;108.74622733012276;0.10666500000000001;1.91754;0.015307499999999996;1.479565;5.6004494777730995;0.2103529015224818;0.21154239228786775;0.024846893977736453
10;1036;12740.570568671252;85.27407463566105;36.77178221015082;2970;108.66485965571002;0.10666500000000001;1.91754;0.0157;1.479565;7.240532921844354;0.21723635013403483;0.21915847439936986;0.030717474812825205
11;1309;12919.223835284476;85.34154531693184;36.124512588969004;2965;109.92462202900356;0.1094;1.9080000000000001;0.015307499999999996;1.494435;6.229894808843929;0.22189110686351957;0.2232860245122226;0.028155810590622676
12;1553;12615.854782527256;84.68275797482872;36.67941004902364;3216;107.85936332729186;0.1094;1.91754;0.015307499999999996;1.479565;5.464938612701679;0.20617999554759903;0.2073355720423161;0.02312879468580916
13;1119;12701.208000918436;84.77928889768826;36.43445872329244;3203;108.54624477304985;0.1094;1.91754;0.0157;1.4869999999999999;6.865434652425019;0.21268711131892845;0.21445268573224377;0.029891730017362124
14;1578;12718.172677171062;85.19088959958937;36.77815270920937;2573;109.02160094800426;0.11213499999999997;1.9080000000000001;0.015307499999999996;1.494435;5.128112567984033;0.22778435179192552;0.2287060811238556;0.023441058096997744
15;1380;12857.532266470298;85.07382404619447;36.10351062265568;2583;110.38967977813175;0.10666500000000001;1.89846;0.0157;1.4869999999999999;5.757423986836706;0.23067176772506243;0.23181853103093808;0.028882407832501643
16;1804;12379.822627552932;85.24507078787232;38.18589359066072;2600;107.44244554330645;0.11213499999999997;1.9080000000000001;0.015307499999999996;1.479565;5.178180463009161;0.23168173991252444;0.23260577262945434;0.022427334395120395
17;1671;13140.887306649889;84.77413683339135;34.670412831496606;3075;110.29480490292698;0.10666500000000001;1.91754;0.015307499999999996;1.494435;4.919858050605716;0.2123185935330932;0.21322866884605307;0.024611803485992872
18;1335;13035.895243062536;85.34406655874467;35.660268388331176;2063;110.714833300539;0.10666500000000001;1.9080000000000001;0.0157;1.494435;5.993473877755256;0.264653418272659;0.2657370495041279;0.030968080223719063
19;1218;12962.874468514347;84.8353844434374;35.44368497889869;3067;110.56030179536515;0.10666500000000001;1.9080000000000001;0.016092499999999996;1.494435;6.575919083237004;0.21359208357879614;0.21520562624217382;0.03150676045705382
20;1416;12695.923709466535;85.36597473946244;37.04218375730226;2938;109.51628013899769;0.10666500000000001;1.89846;0.0157;1.479565;5.398005924693964;0.21497103598559153;0.21605268294471391;0.027082576194664938
21;1727;12869.432358432445;84.95682541200277;35.9389642484537;3076;109.86861207221497;0.10666500000000001;1.9080000000000001;0.0157;1.4869999999999999;4.944889477116176;0.2285135809855344;0.22936801784871094;0.024171154647072146
22;1556;12679.852803308713;84.98835568455164;36.728896672710384;3317;109.03760996433189;0.1094;1.908;0.0157;1.487;5.465741511847201;0.1987158615856417;0.19991493925339232;0.02538663657874828
23;1365;12490.089889248082;84.85019475854791;37.34982971547546;2903;108.61867406066341;0.1094;1.89846;0.0157;1.479565;6.148961621969839;0.21577747621179616;0.21717475661977292;0.028126499433580057
24;1152;12780.490570849923;84.56498024083689;35.90299948809886;3303;108.74722117173404;0.1094;1.91754;0.015307499999999996;1.4869999999999999;6.588910804380138;0.2011924596515607;0.20291137414798027;0.028980509380547848
25;1225;12710.219181476761;85.31775684667555;36.93678496105877;2687;109.50653177956906;0.11213499999999997;1.89846;0.015307499999999996;1.494435;6.350806147997455;0.22353844890900812;0.22497724767167326;0.030685246483854286
26;1293;12628.280244564818;84.72378062337926;36.670673879884774;2691;108.42341817036684;0.1094;1.91754;0.016092499999999996;1.4869999999999999;6.255857552911807;0.22987801882567982;0.231235973857578;0.026355455159255674
27;1600;12301.837488201643;84.53975391464745;37.792529384413044;2972;107.32254879037806;0.11213499999999997;1.9080000000000001;0.0157;1.479565;5.571250979813137;0.21833647538762144;0.2194708132992395;0.023965956156646255
28;1441;12567.604134955722;85.11311060670482;37.30267155126952;2749;108.78728329121031;0.11213499999999997;1.9080000000000001;0.016092499999999996;1.494435;5.984272239572837;0.2379545679617098;0.2391555156130451;0.025243338353596836
29;1711;12752.37344463302;85.47424976830378;36.92475262438475;3109;108.59767709846865;0.11213499999999997;1.91754;0.015307499999999996;1.494435;5.341993847447588;0.20826739607645955;0.20936069030739926;0.022714456045784644
30;1757;12479.105920165455;85.16935604101585;37.71297510222322;2833;108.14116961195036;0.11213499999999997;1.9080000000000001;0.0157;1.4869999999999999;5.245109711942102;0.23541135595147275;0.23634442098377537;0.022139474236192818
31;1484;13095.280647057467;84.39688347751449;34.47547843536427;3000;111.36092990445746;0.10666500000000001;1.89846;0.015307499999999996;1.494435;5.75953724739391;0.21534563544440974;0.21657446530386604;0.027710346186279166
32;1312;12900.538868189902;85.029087998238;35.88684198262261;3009;109.46082035417983;0.10666500000000001;1.91754;0.0157;1.4869999999999999;6.243583958011226;0.2141210493816256;0.21557258927222447;0.02617849097947279
